"","beta","nPassesPerScan","meanRate"
"1",0.01,0,1.73121811821212
"2",0.01,0.5,1.7170950027563
"3",0.01,1,1.7301837413178
"4",0.01,2,1.72340840734054
"5",0.01,4,1.72063685404885
"6",0.01,8,1.72470809270772
"7",0.01,16,1.70633697493514
"8",0.01,32,1.70933303811949
"9",0.02,0,1.73155393595203
"10",0.02,0.5,1.71558378382649
"11",0.02,1,1.73037581665134
"12",0.02,2,1.72249241483474
"13",0.02,4,1.72002413306095
"14",0.02,8,1.72543335034236
"15",0.02,16,1.70468336760306
"16",0.02,32,1.70807955416284
"17",0.03,0,1.7300050872296
"18",0.03,0.5,1.71618804882733
"19",0.03,1,1.73036913140003
"20",0.03,2,1.72278942228291
"21",0.03,4,1.72024807031146
"22",0.03,8,1.72520635807631
"23",0.03,16,1.70511585204584
"24",0.03,32,1.70830206145966
"25",0.04,0,1.72657157204486
"26",0.04,0.5,1.7189077977588
"27",0.04,1,1.73016368556389
"28",0.04,2,1.72429942968504
"29",0.04,4,1.7213086658004
"30",0.04,8,1.72402711590958
"31",0.04,16,1.70763442826348
"32",0.04,32,1.71000056000993
"33",0.05,0,1.72183602590592
"34",0.05,0.5,1.72374303062091
"35",0.05,1,1.7297594791429
"36",0.05,2,1.72702243704114
"37",0.05,4,1.72320591952775
"38",0.05,8,1.72189562384215
"39",0.05,16,1.71223909625599
"40",0.05,32,1.71317504981366
"41",0.06,0,1.71603798970669
"42",0.06,0.5,1.73069374741366
"43",0.06,1,1.72915651213707
"44",0.06,2,1.73095844435119
"45",0.06,4,1.72593983149353
"46",0.06,8,1.71881188187405
"47",0.06,16,1.71892985602336
"48",0.06,32,1.71782553087086
"49",0.07,0,1.71001250346784
"50",0.07,0.5,1.73961367004227
"51",0.07,1,1.72680841920034
"52",0.07,2,1.73575716709635
"53",0.07,4,1.72881688902757
"54",0.07,8,1.71273170557006
"55",0.07,16,1.7276623282468
"56",0.07,32,1.72269693147845
"57",0.08,0,1.70813400476207
"58",0.08,0.5,1.74797846600772
"59",0.08,1,1.72235474879422
"60",0.08,2,1.73982411122611
"61",0.08,4,1.73255544218957
"62",0.08,8,1.70415215348263
"63",0.08,16,1.7347615795649
"64",0.08,32,1.72849648024194
"65",0.09,0,1.70963652584633
"66",0.09,0.5,1.75356136911911
"67",0.09,1,1.71994357015102
"68",0.09,2,1.74312797533291
"69",0.09,4,1.73533170024089
"70",0.09,8,1.69950335933529
"71",0.09,16,1.74028948206452
"72",0.09,32,1.73365708201564
"73",0.1,0,1.71389018809492
"74",0.1,0.5,1.7565884722031
"75",0.1,1,1.7203386678857
"76",0.1,2,1.74566875941675
"77",0.1,4,1.73707003325565
"78",0.1,8,1.69949259915664
"79",0.1,16,1.7445317072409
"80",0.1,32,1.73794881722883
"81",0.11,0,1.72098049218908
"82",0.11,0.5,1.75705977525968
"83",0.11,1,1.72354004199826
"84",0.11,2,1.74744646347764
"85",0.11,4,1.73777044123386
"86",0.11,8,1.70411987294668
"87",0.11,16,1.74748825509403
"88",0.11,32,1.7413716858815
"89",0.12,0,1.73008846057905
"90",0.12,0.5,1.75497527828886
"91",0.12,1,1.7295476924887
"92",0.12,2,1.74846108751557
"93",0.12,4,1.73743292417551
"94",0.12,8,1.71338518070542
"95",0.12,16,1.74915912562393
"96",0.12,32,1.74392568797365
"97",0.13,0,1.73882044175784
"98",0.13,0.5,1.75030454968846
"99",0.13,1,1.73820386034
"100",0.13,2,1.74890568336887
"101",0.13,4,1.7359792413624
"102",0.13,8,1.72729501731749
"103",0.13,16,1.74976240447221
"104",0.13,32,1.74557325932493
"105",0.14,0,1.74544325380964
"106",0.14,0.5,1.74494200015915
"107",0.14,1,1.74909029300965
"108",0.14,2,1.74884420323631
"109",0.14,4,1.73251953587502
"110",0.14,8,1.74354862875635
"111",0.14,16,1.74949213277683
"112",0.14,32,1.74404864910315
"113",0.15,0,1.74988328090588
"114",0.15,0.5,1.74198895225646
"115",0.15,1,1.76105801274892
"116",0.15,2,1.74714016509651
"117",0.15,4,1.73002583224851
"118",0.15,8,1.75861122094696
"119",0.15,16,1.74998510180701
"120",0.15,32,1.74153523680004
"121",0.16,0,1.75039834998618
"122",0.16,0.5,1.74056294615214
"123",0.16,1,1.76949570077566
"124",0.16,2,1.74661948431054
"125",0.16,4,1.72865703742714
"126",0.16,8,1.7692531414176
"127",0.16,16,1.75095471341201
