"","round","nPassesPerScan","meanRate"
"1",0,0,0.0441197127434219
"2",0,0.5,0.0436813326085399
"3",0,1,0.0435315114736502
"4",0,2,0.0432256700563471
"5",0,4,0.0433789028041204
"6",0,8,0.0436225449877626
"7",0,16,0.0427879331103357
"8",0,32,0.0435666897285777
"9",1,0,0.0647292973810294
"10",1,0.5,0.0630864255296624
"11",1,1,0.0640894309587891
"12",1,2,0.0641237615353997
"13",1,4,0.0616489384057199
"14",1,8,0.0615925306491801
"15",1,16,0.0613556953272476
"16",1,32,0.0618307518871434
"17",2,0,0.0901430872071824
"18",2,0.5,0.0836973840287746
"19",2,1,0.0824898670352046
"20",2,2,0.0828157191320946
"21",2,4,0.0816900825477836
"22",2,8,0.084360651456355
"23",2,16,0.0817465993164274
"24",2,32,0.0823053114331542
"25",3,0,0.116535368138377
"26",3,0.5,0.104556767177121
"27",3,1,0.106484478351819
"28",3,2,0.104407134848579
"29",3,4,0.10762701288434
"30",3,8,0.108279364831791
"31",3,16,0.105561218394396
"32",3,32,0.103387117867629
"33",4,0,0.142211053427553
"34",4,0.5,0.124714694926244
"35",4,1,0.123027900437784
"36",4,2,0.12205605754175
"37",4,4,0.12483793202413
"38",4,8,0.123340852994433
"39",4,16,0.124277513059465
"40",4,32,0.124515066729259
"41",5,0,0.160585893244504
"42",5,0.5,0.138646015206059
"43",5,1,0.13661227535341
"44",5,2,0.137852959998319
"45",5,4,0.135760923849574
"46",5,8,0.137083725712709
"47",5,16,0.136078115236158
"48",5,32,0.135403300654056
"49",6,0,0.173209651729607
"50",6,0.5,0.145025607831033
"51",6,1,0.146122230216925
"52",6,2,0.145584689492954
"53",6,4,0.144892986856766
"54",6,8,0.145938443631255
"55",6,16,0.145424288629882
"56",6,32,0.146539551576659
"57",7,0,0.177321232380516
"58",7,0.5,0.15010908579381
"59",7,1,0.150402547760145
"60",7,2,0.148497937683968
"61",7,4,0.149283836865069
"62",7,8,0.149554448897995
"63",7,16,0.150369856230651
"64",7,32,0.150167252891234
"65",8,0,0.180562772233139
"66",8,0.5,0.152147414247419
"67",8,1,0.151091289931696
"68",8,2,0.151855921671399
"69",8,4,0.1518518937602
"70",8,8,0.151119955731934
"71",8,16,0.151779818383541
"72",8,32,0.151636702513645
"73",9,0,0.182749924644005
"74",9,0.5,0.153142232311571
"75",9,1,0.152243949681357
"76",9,2,0.152775132970269
"77",9,4,0.152986014402422
"78",9,8,0.152987410645052
"79",9,16,0.153508915310433
"80",9,32,0.153991014199172
"81",10,0,0.183238844266332
"82",10,0.5,0.153669538051667
"83",10,1,0.153855132615522
"84",10,2,0.153513254642975
"85",10,4,0.153522256338508
"86",10,8,0.153870355306034
"87",10,16,0.154495791691774
"88",10,32,0.154555342735999
"89",11,0,0.18200913395336
"90",11,0.5,0.153984914187122
"91",11,1,0.154380707039381
"92",11,2,0.154405649473538
"93",11,4,0.154601266331378
"94",11,8,0.15423105949265
"95",11,16,0.154362925354465
"96",11,32,0.153963110023267
