"","beta","nPassesPerScan","meanRate"
"1",0.01,0,3.89332386093324
"2",0.01,0.5,3.95078627060916
"3",0.01,1,3.92988893550156
"4",0.01,2,3.87520269343563
"5",0.01,4,3.93425898459943
"6",0.01,8,3.89991030171678
"7",0.01,16,3.86445146165643
"8",0.01,32,3.86109850781993
"9",0.02,0,3.89122735985448
"10",0.02,0.5,3.95003753001736
"11",0.02,1,3.93066121751719
"12",0.02,2,3.87711548671842
"13",0.02,4,3.93376864798086
"14",0.02,8,3.90211247483753
"15",0.02,16,3.86608056665396
"16",0.02,32,3.86375269558405
"17",0.03,0,3.87894632307873
"18",0.03,0.5,3.94183082085589
"19",0.03,1,3.93904975474074
"20",0.03,2,3.88818567492837
"21",0.03,4,3.92783690712379
"22",0.03,8,3.91608972395417
"23",0.03,16,3.87379067727234
"24",0.03,32,3.88533637686645
"25",0.04,0,3.85356531357934
"26",0.04,0.5,3.92592607248025
"27",0.04,1,3.95521297834133
"28",0.04,2,3.90818789176536
"29",0.04,4,3.91513354422323
"30",0.04,8,3.94298500725266
"31",0.04,16,3.88600570857504
"32",0.04,32,3.92544146894848
"33",0.05,0,3.8242203417891
"34",0.05,0.5,3.89244322757851
"35",0.05,1,3.96408933480142
"36",0.05,2,3.92062298749875
"37",0.05,4,3.87977419219554
"38",0.05,8,3.9627312210731
"39",0.05,16,3.87716629248304
"40",0.05,32,3.96437499713649
"41",0.06,0,3.82189744173923
"42",0.06,0.5,3.88250479111472
"43",0.06,1,3.97533248063005
"44",0.06,2,3.92925451626879
"45",0.06,4,3.8726862790953
"46",0.06,8,3.97341367263177
"47",0.06,16,3.88423415351414
"48",0.06,32,3.98899279096448
"49",0.07,0,3.8465791445306
"50",0.07,0.5,3.89938481368067
"51",0.07,1,3.99148265550811
"52",0.07,2,3.93552085488601
"53",0.07,4,3.9001695827418
"54",0.07,8,3.97616700506815
"55",0.07,16,3.90924517301444
"56",0.07,32,4.00026035797947
"57",0.08,0,3.89053551744987
"58",0.08,0.5,3.94101744596898
"59",0.08,1,4.01192175477165
"60",0.08,2,3.94018906878743
"61",0.08,4,3.96080138359976
"62",0.08,8,3.97228757954507
"63",0.08,16,3.95192797385837
"64",0.08,32,3.9983174531134
"65",0.09,0,3.92314581544221
"66",0.09,0.5,3.97563898457537
"67",0.09,1,4.04120093436642
"68",0.09,2,3.93477634763281
"69",0.09,4,4.01851012626107
"70",0.09,8,3.96603022044211
"71",0.09,16,3.98716825311826
"72",0.09,32,3.99424297167919
"73",0.1,0,3.93731890942438
"74",0.1,0.5,4.00121616503094
"75",0.1,1,4.06221441102751
"76",0.1,2,3.94682550161567
"77",0.1,4,4.06053701237071
"78",0.1,8,3.97892179956516
"79",0.1,16,4.01950563147418
"80",0.1,32,4.0069807809355
"81",0.11,0,3.9353615509053
"82",0.11,0.5,4.02176607348628
"83",0.11,1,4.07114765718728
"84",0.11,2,3.98349364772036
"85",0.11,4,4.09143354750996
"86",0.11,8,4.01108279784474
"87",0.11,16,4.05407031786807
"88",0.11,32,4.03861269745414
"89",0.12,0,3.92310312293587
"90",0.12,0.5,4.03595022724079
"91",0.12,1,4.06377884907669
"92",0.12,2,4.04071469191219
"93",0.12,4,4.11272391464857
"94",0.12,8,4.05851896616696
"95",0.12,16,4.08854837611298
"96",0.12,32,4.08636508065104
"97",0.13,0,3.9012247965915
"98",0.13,0.5,4.04030782851545
"99",0.13,1,4.03036258324424
"100",0.13,2,4.08258444850472
"101",0.13,4,4.12688988362822
"102",0.13,8,4.0776178480382
"103",0.13,16,4.12360412388105
"104",0.13,32,4.11506626971539
"105",0.14,0,3.8869722668479
"106",0.14,0.5,4.06498398629383
"107",0.14,1,4.04049166250464
"108",0.14,2,4.12547797515161
"109",0.14,4,4.15087671348932
"110",0.14,8,4.11039993701551
"111",0.14,16,4.15962548661575
"112",0.14,32,4.15057202290277
"113",0.15,0,3.88910708434705
"114",0.15,0.5,4.115132948648
"115",0.15,1,4.09988890585533
"116",0.15,2,4.17225710866916
"117",0.15,4,4.18468527066077
"118",0.15,8,4.15715995570728
