"","round","nPassesPerScan","meanRate"
"1",0,0,0.0415376706252126
"2",0,0.5,0.0412341687849709
"3",0,1,0.039825171021569
"4",0,2,0.0400758377170551
"5",0,4,0.039219515401037
"6",0,8,0.0422321471775362
"7",0,16,0.0413713122392532
"8",0,32,0.0418870379438432
"9",1,0,0.0583328524114163
"10",1,0.5,0.056948450662975
"11",1,1,0.0559569387268338
"12",1,2,0.0577557003359886
"13",1,4,0.057985522415929
"14",1,8,0.0585695175263623
"15",1,16,0.0582884125699508
"16",1,32,0.0589023081666231
"17",2,0,0.0750068092751347
"18",2,0.5,0.0726695112647239
"19",2,1,0.0739610366467581
"20",2,2,0.0728453935929242
"21",2,4,0.0751059784614722
"22",2,8,0.0758319698922941
"23",2,16,0.0747546294919252
"24",2,32,0.0778714703010746
"25",3,0,0.094072725369475
"26",3,0.5,0.0913417836753883
"27",3,1,0.0919851027614581
"28",3,2,0.0903485492685557
"29",3,4,0.0920717191385857
"30",3,8,0.0907405071841116
"31",3,16,0.0901868021628228
"32",3,32,0.0929269141639557
"33",4,0,0.108571914750833
"34",4,0.5,0.103518065224484
"35",4,1,0.104987169424628
"36",4,2,0.10394933106575
"37",4,4,0.103587683722811
"38",4,8,0.10373350930551
"39",4,16,0.103981716947186
"40",4,32,0.104659836486099
"41",5,0,0.120354877063089
"42",5,0.5,0.111996449434131
"43",5,1,0.110510577773718
"44",5,2,0.114370422091398
"45",5,4,0.113128077098083
"46",5,8,0.113568379517491
"47",5,16,0.113544554693068
"48",5,32,0.113192269614673
"49",6,0,0.124196802463669
"50",6,0.5,0.118303824868553
"51",6,1,0.118391252150615
"52",6,2,0.118732260750678
"53",6,4,0.118235381003399
"54",6,8,0.116996129293764
"55",6,16,0.119732272448884
"56",6,32,0.120377911020792
"57",7,0,0.127604823772571
"58",7,0.5,0.121490721525754
"59",7,1,0.119903766920616
"60",7,2,0.121801946685436
"61",7,4,0.121736016037808
"62",7,8,0.122282240392183
"63",7,16,0.122307964569892
"64",7,32,0.121584272624041
"65",8,0,0.12952804846123
"66",8,0.5,0.121645932901335
"67",8,1,0.121847051541362
"68",8,2,0.121365144940651
"69",8,4,0.122823690444579
"70",8,8,0.122694660361271
"71",8,16,0.12247956638877
"72",8,32,0.121884436368175
"73",9,0,0.129479769346856
"74",9,0.5,0.123611090113069
"75",9,1,0.123217463013966
"76",9,2,0.123811879238289
"77",9,4,0.123292157566558
"78",9,8,0.123149836013163
"79",9,16,0.123881278314863
"80",9,32,0.12320205809924
"81",10,0,0.127610931486726
"82",10,0.5,0.124038364393496
"83",10,1,0.124095660296456
"84",10,2,0.123519526534989
"85",10,4,0.123687694167488
"86",10,8,0.123529816125503
"87",10,16,0.124238336724389
"88",10,32,0.124213661253991
"89",11,0,0.127182299630192
"90",11,0.5,0.123855445027056
"91",11,1,0.124105804351928
"92",11,2,0.124226261324134
"93",11,4,0.123646793546447
"94",11,8,0.124078463201406
"95",11,16,0.124284964503623
"96",11,32,0.12388674047119
