"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0
"26",3,0.5,0
"27",3,1,0
"28",3,2,0
"29",3,4,0.005
"30",3,8,0
"31",3,16,0
"32",3,32,0
"33",4,0,0.00256410256410256
"34",4,0.5,0.0102564102564103
"35",4,1,0.0128205128205128
"36",4,2,0.0179487179487179
"37",4,4,0.0102564102564103
"38",4,8,0.0205128205128205
"39",4,16,0.0153846153846154
"40",4,32,0.0205128205128205
"41",5,0,0.00256410256410256
"42",5,0.5,0.0230769230769231
"43",5,1,0.0358974358974359
"44",5,2,0.0551282051282051
"45",5,4,0.0615384615384615
"46",5,8,0.0512820512820513
"47",5,16,0.0692307692307692
"48",5,32,0.0564102564102564
"49",6,0,0.00256410256410256
"50",6,0.5,0.0352564102564103
"51",6,1,0.0551282051282051
"52",6,2,0.0762820512820513
"53",6,4,0.0717948717948718
"54",6,8,0.0762820512820513
"55",6,16,0.0814102564102564
"56",6,32,0.0897435897435897
"57",7,0,0.00255591054313099
"58",7,0.5,0.0466453674121406
"59",7,1,0.0702875399361022
"60",7,2,0.0833865814696486
"61",7,4,0.0865814696485623
"62",7,8,0.0964856230031949
"63",7,16,0.0932907348242811
"64",7,32,0.0945686900958466
"65",8,0,0.00304
"66",8,0.5,0.052
"67",8,1,0.06944
"68",8,2,0.0856
"69",8,4,0.09984
"70",8,8,0.10064
"71",8,16,0.10096
"72",8,32,0.10464
"73",9,0,0.0026378896882494
"74",9,0.5,0.0559552358113509
"75",9,1,0.0738609112709832
"76",9,2,0.091207034372502
"77",9,4,0.0973621103117506
"78",9,8,0.10599520383693
"79",9,16,0.10519584332534
"80",9,32,0.104716227018385
"81",10,0,0.00235905637744902
"82",10,0.5,0.0555377848860456
"83",10,1,0.0760895641743303
"84",10,2,0.0919632147141144
"85",10,4,0.100999600159936
"86",10,8,0.105117952818872
"87",10,16,0.106677329068373
"88",10,32,0.10655737704918
"89",11,0,0.0023
"90",11,0.5,0.0552
"91",11,1,0.0761
"92",11,2,0.09156
"93",11,4,0.10182
"94",11,8,0.10608
"95",11,16,0.10558
"96",11,32,0.10768
