"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0
"26",3,0.5,0
"27",3,1,0
"28",3,2,0.005
"29",3,4,0
"30",3,8,0.01
"31",3,16,0
"32",3,32,0
"33",4,0,0.00256410256410256
"34",4,0.5,0.00256410256410256
"35",4,1,0.00512820512820513
"36",4,2,0.0102564102564103
"37",4,4,0.0153846153846154
"38",4,8,0.00512820512820513
"39",4,16,0.0205128205128205
"40",4,32,0.0153846153846154
"41",5,0,0.00256410256410256
"42",5,0.5,0.0205128205128205
"43",5,1,0.0243589743589744
"44",5,2,0.0307692307692308
"45",5,4,0.0371794871794872
"46",5,8,0.0525641025641026
"47",5,16,0.0602564102564103
"48",5,32,0.058974358974359
"49",6,0,0.00256410256410256
"50",6,0.5,0.0333333333333333
"51",6,1,0.0391025641025641
"52",6,2,0.0506410256410256
"53",6,4,0.0596153846153846
"54",6,8,0.0615384615384615
"55",6,16,0.0685897435897436
"56",6,32,0.0673076923076923
"57",7,0,0.00287539936102236
"58",7,0.5,0.0376996805111821
"59",7,1,0.0453674121405751
"60",7,2,0.0568690095846645
"61",7,4,0.0623003194888179
"62",7,8,0.0750798722044728
"63",7,16,0.0801916932907348
"64",7,32,0.0904153354632588
"65",8,0,0.0072
"66",8,0.5,0.04336
"67",8,1,0.05152
"68",8,2,0.06384
"69",8,4,0.076
"70",8,8,0.08144
"71",8,16,0.0888
"72",8,32,0.09584
"73",9,0,0.00631494804156675
"74",9,0.5,0.0446842525979217
"75",9,1,0.0566746602717826
"76",9,2,0.0671462829736211
"77",9,4,0.0730615507593925
"78",9,8,0.0836930455635492
"79",9,16,0.0905675459632294
"80",9,32,0.0941646682653877
"81",10,0,0.00663734506197521
"82",10,0.5,0.0452219112355058
"83",10,1,0.0563774490203918
"84",10,2,0.0677329068372651
"85",10,4,0.0786885245901639
"86",10,8,0.0860455817672931
"87",10,16,0.0911235505797681
"88",10,32,0.0979208316673331
"89",11,0,0.00648
"90",11,0.5,0.04614
"91",11,1,0.05702
"92",11,2,0.06854
"93",11,4,0.07884
"94",11,8,0.08596
"95",11,16,0.09276
"96",11,32,0.09592
