"","beta","nPassesPerScan","meanRate"
"1",0.01,0,1.11999645240631
"2",0.01,0.5,1.10630388148717
"3",0.01,1,1.10444370797633
"4",0.01,2,1.09990744061022
"5",0.01,4,1.11554140819524
"6",0.01,8,1.11759134434304
"7",0.01,16,1.11251340326029
"8",0.01,32,1.10247110939872
"9",0.02,0,1.09290708881068
"10",0.02,0.5,1.10690975960296
"11",0.02,1,1.10424419112917
"12",0.02,2,1.10043207726725
"13",0.02,4,1.11914829609415
"14",0.02,8,1.09466215769517
"15",0.02,16,1.09907074491621
"16",0.02,32,1.09440239333613
"17",0.03,0,1.07273485039833
"18",0.03,0.5,1.10356193972016
"19",0.03,1,1.09708460879004
"20",0.03,2,1.09211935085793
"21",0.03,4,1.12188479157399
"22",0.03,8,1.07607114609554
"23",0.03,16,1.09105937248611
"24",0.03,32,1.08735574197693
"25",0.04,0,1.06388555508298
"26",0.04,0.5,1.08049901475831
"27",0.04,1,1.07425329732524
"28",0.04,2,1.08169743473504
"29",0.04,4,1.07689760807249
"30",0.04,8,1.06797625953364
"31",0.04,16,1.07508484281388
"32",0.04,32,1.06603215468012
"33",0.05,0,1.05041150156915
"34",0.05,0.5,1.05946790861735
"35",0.05,1,1.06241335817973
"36",0.05,2,1.07791712378832
"37",0.05,4,1.04484325936639
"38",0.05,8,1.0531157989062
"39",0.05,16,1.06031441095839
"40",0.05,32,1.05169328137214
"41",0.06,0,1.03845415566782
"42",0.06,0.5,1.03254617644144
"43",0.06,1,1.05136297986686
"44",0.06,2,1.04596186160257
"45",0.06,4,1.0434736646745
"46",0.06,8,1.02249412009621
"47",0.06,16,1.04190247193571
"48",0.06,32,1.03851167157153
"49",0.07,0,1.02969486230642
"50",0.07,0.5,1.02247419837268
"51",0.07,1,1.03907110540968
"52",0.07,2,1.0189790105694
"53",0.07,4,1.03950686701399
"54",0.07,8,1.00540996720819
"55",0.07,16,1.02882003134101
"56",0.07,32,1.02290521847949
"57",0.08,0,1.00568202579754
