"","round","nPassesPerScan","meanRate"
"1",0,0,0.0467164727407753
"2",0,0.5,0.047043184408721
"3",0,1,0.047000551462252
"4",0,2,0.0469503274084251
"5",0,4,0.0466653349884476
"6",0,8,0.0469484722015341
"7",0,16,0.0468537889443892
"8",0,32,0.0468130112048113
"9",1,0,0.0727530200587758
"10",1,0.5,0.0738217643250239
"11",1,1,0.0742534343105566
"12",1,2,0.0734731198537006
"13",1,4,0.0727445310761104
"14",1,8,0.07342249415088
"15",1,16,0.073884376752448
"16",1,32,0.0743675922756886
"17",2,0,0.108851164055324
"18",2,0.5,0.111944085346569
"19",2,1,0.110911396787178
"20",2,2,0.111089353581725
"21",2,4,0.110782818103509
"22",2,8,0.110595372117322
"23",2,16,0.110696391411741
"24",2,32,0.111352957824978
"25",3,0,0.162380227837127
"26",3,0.5,0.16100449171649
"27",3,1,0.161565299309309
"28",3,2,0.162688758465331
"29",3,4,0.160547288446042
"30",3,8,0.162053611935625
"31",3,16,0.159369812175762
"32",3,32,0.16112436321493
"33",4,0,0.217130403206794
"34",4,0.5,0.216740478448689
"35",4,1,0.216631182021527
"36",4,2,0.21841199675496
"37",4,4,0.220616124686037
"38",4,8,0.218833598788704
"39",4,16,0.215040689671623
"40",4,32,0.218153038425686
"41",5,0,0.272462502332754
"42",5,0.5,0.268110785429117
"43",5,1,0.268122698467835
"44",5,2,0.271549077328608
"45",5,4,0.266925244359335
"46",5,8,0.267113664064519
"47",5,16,0.269699234859788
"48",5,32,0.271496737368301
"49",6,0,0.306372641181894
"50",6,0.5,0.308697194465016
"51",6,1,0.308474182713454
"52",6,2,0.305046384894059
"53",6,4,0.309241006052994
"54",6,8,0.308902488425761
"55",6,16,0.304988167655589
"56",6,32,0.304100032886964
"57",7,0,0.327741925161644
"58",7,0.5,0.330454153842865
"59",7,1,0.330926069898445
"60",7,2,0.329169955683897
"61",7,4,0.329693710056379
"62",7,8,0.331610453878635
"63",7,16,0.329773271041564
"64",7,32,0.330747922609368
"65",8,0,0.347225078453745
"66",8,0.5,0.344870949147094
"67",8,1,0.344542705952982
"68",8,2,0.346967195181029
"69",8,4,0.344199168054576
"70",8,8,0.344305470653349
"71",8,16,0.347220902760342
"72",8,32,0.343419314641007
"73",9,0,0.34984484944489
"74",9,0.5,0.350754865217585
"75",9,1,0.352489920714275
"76",9,2,0.352022317647836
"77",9,4,0.351039065747595
"78",9,8,0.350795670573761
"79",9,16,0.350900018773692
"80",9,32,0.35044102702877
"81",10,0,0.355726229175018
"82",10,0.5,0.35506446700664
"83",10,1,0.354881860051956
"84",10,2,0.35466550209079
"85",10,4,0.354955196347516
"86",10,8,0.355144151136429
"87",10,16,0.354678897187004
"88",10,32,0.356112685023027
"89",11,0,0.357414238617088
"90",11,0.5,0.356749544834594
"91",11,1,0.35674126612553
"92",11,2,0.35669285427312
"93",11,4,0.356659031316143
"94",11,8,0.357390615423556
"95",11,16,0.356763437662876
"96",11,32,0.357514160796773
