"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0.015
"26",3,0.5,0.03
"27",3,1,0.04
"28",3,2,0.03
"29",3,4,0.025
"30",3,8,0.025
"31",3,16,0.025
"32",3,32,0.035
"33",4,0,0.146153846153846
"34",4,0.5,0.169230769230769
"35",4,1,0.176923076923077
"36",4,2,0.176923076923077
"37",4,4,0.197435897435897
"38",4,8,0.176923076923077
"39",4,16,0.187179487179487
"40",4,32,0.179487179487179
"41",5,0,0.226923076923077
"42",5,0.5,0.265384615384615
"43",5,1,0.271794871794872
"44",5,2,0.284615384615385
"45",5,4,0.258974358974359
"46",5,8,0.261538461538462
"47",5,16,0.287179487179487
"48",5,32,0.282051282051282
"49",6,0,0.267948717948718
"50",6,0.5,0.316666666666667
"51",6,1,0.308974358974359
"52",6,2,0.309615384615385
"53",6,4,0.311538461538462
"54",6,8,0.316666666666667
"55",6,16,0.319230769230769
"56",6,32,0.31025641025641
"57",7,0,0.289137380191693
"58",7,0.5,0.337380191693291
"59",7,1,0.337380191693291
"60",7,2,0.339936102236422
"61",7,4,0.33961661341853
"62",7,8,0.335143769968051
"63",7,16,0.334504792332268
"64",7,32,0.331309904153355
"65",8,0,0.30448
"66",8,0.5,0.34832
"67",8,1,0.34912
"68",8,2,0.3488
"69",8,4,0.34832
"70",8,8,0.34352
"71",8,16,0.34144
"72",8,32,0.34464
"73",9,0,0.300959232613909
"74",9,0.5,0.347801758593126
"75",9,1,0.353077537969624
"76",9,2,0.350279776179057
"77",9,4,0.351398880895284
"78",9,8,0.354836131095124
"79",9,16,0.351318944844125
"80",9,32,0.35259792166267
"81",10,0,0.305517792882847
"82",10,0.5,0.353138744502199
"83",10,1,0.356217512994802
"84",10,2,0.354778088764494
"85",10,4,0.353018792483007
"86",10,8,0.356177528988405
"87",10,16,0.353938424630148
"88",10,32,0.355057976809276
"89",11,0,0.30306
"90",11,0.5,0.3541
"91",11,1,0.35534
"92",11,2,0.35334
"93",11,4,0.35736
"94",11,8,0.3582
"95",11,16,0.35382
"96",11,32,0.35884
