"","beta","nPassesPerScan","meanRate"
"1",0.01,0,33.5184978189599
"2",0.01,0.5,30.0585881205476
"3",0.01,1,31.13762087649
"4",0.01,2,30.4045629559351
"5",0.01,4,29.9648047376175
"6",0.01,8,30.0627241105748
"7",0.01,16,29.9579825859411
"8",0.01,32,30.2122122695292
"9",0.02,0,17.4219304503222
"10",0.02,0.5,15.3536145530469
"11",0.02,1,15.3101009779466
"12",0.02,2,15.4007276534722
"13",0.02,4,15.6397106826898
"14",0.02,8,15.3666305454795
"15",0.02,16,15.3752515998539
"16",0.02,32,15.2035447403505
"17",0.03,0,10.9030798285559
"18",0.03,0.5,10.8058368000277
"19",0.03,1,10.7974945905786
"20",0.03,2,10.8229476915024
"21",0.03,4,10.9265212818385
"22",0.03,8,10.8074573778609
"23",0.03,16,10.8141152080716
"24",0.03,32,10.6668624042675
"25",0.04,0,7.94014659832658
"26",0.04,0.5,7.62839076509932
"27",0.04,1,7.62176821782256
"28",0.04,2,7.64976016294812
"29",0.04,4,7.6460999493563
"30",0.04,8,7.66815074020022
"31",0.04,16,7.62384267159067
"32",0.04,32,7.56551504933061
"33",0.05,0,6.64418067123729
"34",0.05,0.5,6.04938883761735
"35",0.05,1,6.01542451631662
"36",0.05,2,6.03416654120034
"37",0.05,4,5.99483488461439
"38",0.05,8,6.07783967393066
"39",0.05,16,6.03702117565355
"40",0.05,32,6.002030551393
"41",0.06,0,5.3633387659571
"42",0.06,0.5,5.38431508615268
"43",0.06,1,5.42908162530949
"44",0.06,2,5.44463332324992
"45",0.06,4,5.41079693958232
"46",0.06,8,5.40134695761774
"47",0.06,16,5.43118963110978
"48",0.06,32,5.35776157533573
"49",0.07,0,4.51485373314098
"50",0.07,0.5,4.52510465522867
"51",0.07,1,4.55843865467385
"52",0.07,2,4.60679674691278
"53",0.07,4,4.56992257533089
"54",0.07,8,4.5391296832024
"55",0.07,16,4.57325140338449
"56",0.07,32,4.51496014873048
"57",0.08,0,3.90387063383018
"58",0.08,0.5,3.83714402722727
"59",0.08,1,3.86252888626937
"60",0.08,2,3.92757067093213
"61",0.08,4,3.88890632811158
"62",0.08,8,3.84129100004578
"63",0.08,16,3.88797522388632
"64",0.08,32,3.83331077803359
"65",0.09,0,3.39527070335614
"66",0.09,0.5,3.32785646566573
"67",0.09,1,3.34135232009607
