"","round","nPassesPerScan","meanRate"
"1",0,0,0.0439830099161436
"2",0,0.5,0.0435329241961887
"3",0,1,0.0435506124560527
"4",0,2,0.0436577611360815
"5",0,4,0.0436110567984377
"6",0,8,0.0436690278475812
"7",0,16,0.0438626133780987
"8",0,32,0.0438569844062569
"9",1,0,0.0646741449101381
"10",1,0.5,0.0617600934107005
"11",1,1,0.0629199762477829
"12",1,2,0.0619437983887621
"13",1,4,0.0633510807485801
"14",1,8,0.0625000647677472
"15",1,16,0.06296614529324
"16",1,32,0.0615720334803149
"17",2,0,0.0909702388717004
"18",2,0.5,0.081126909593424
"19",2,1,0.0805564976256875
"20",2,2,0.0807182098404156
"21",2,4,0.080151144859299
"22",2,8,0.0801779901103181
"23",2,16,0.0806413837216876
"24",2,32,0.080554981059397
"25",3,0,0.122343470836416
"26",3,0.5,0.0940605317760392
"27",3,1,0.0924278607925977
"28",3,2,0.0951378293945167
"29",3,4,0.0931481944457823
"30",3,8,0.0934098052597604
"31",3,16,0.0928880059510301
"32",3,32,0.0931593436768166
"33",4,0,0.150193225590355
"34",4,0.5,0.0968241620148173
"35",4,1,0.098722954145183
"36",4,2,0.0965217391226118
"37",4,4,0.0970750126710995
"38",4,8,0.0986114051849956
"39",4,16,0.0980002767061367
"40",4,32,0.0980921124701312
"41",5,0,0.164122519821162
"42",5,0.5,0.0987602276552571
"43",5,1,0.0980202794104601
"44",5,2,0.0979268197315063
"45",5,4,0.0972583010234576
"46",5,8,0.0979951540037182
"47",5,16,0.0989145756641552
"48",5,32,0.0965494106631361
"49",6,0,0.159604806510951
"50",6,0.5,0.0950108433345853
"51",6,1,0.0956171082108679
"52",6,2,0.0957892974939267
"53",6,4,0.0954031062452576
"54",6,8,0.094477356868221
"55",6,16,0.0946747720184343
"56",6,32,0.0946845311422575
"57",7,0,0.147229308836877
"58",7,0.5,0.0944322654305807
"59",7,1,0.0937140317576002
"60",7,2,0.0938844848830738
"61",7,4,0.0934447443837221
"62",7,8,0.094136923946123
"63",7,16,0.0950177202701988
"64",7,32,0.0942323878980978
"65",8,0,0.127911177802833
"66",8,0.5,0.095049743016255
"67",8,1,0.0944350192941653
"68",8,2,0.0950326420354694
"69",8,4,0.0946289928164194
"70",8,8,0.0945486874267479
"71",8,16,0.094073029003036
"72",8,32,0.0944445390400844
"73",9,0,0.112649130602244
"74",9,0.5,0.094603191309181
"75",9,1,0.0945311648166168
"76",9,2,0.0951486714390147
"77",9,4,0.0948758104606482
"78",9,8,0.0946725816248253
"79",9,16,0.0942057334280916
"80",9,32,0.0942602791355765
"81",10,0,0.100700891459303
"82",10,0.5,0.0946921568151266
"83",10,1,0.0949707099655499
"84",10,2,0.0944013465154714
"85",10,4,0.0946955656945625
"86",10,8,0.0945937255718599
"87",10,16,0.0949311685335344
"88",10,32,0.0948500267120272
"89",11,0,0.0985647867184474
"90",11,0.5,0.0949388429661967
"91",11,1,0.0947250745015111
"92",11,2,0.0947567220560272
"93",11,4,0.0949200667818685
"94",11,8,0.0949482256431683
"95",11,16,0.0949192206906447
"96",11,32,0.0949347637883675
