"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0
"26",3,0.5,0
"27",3,1,0
"28",3,2,0
"29",3,4,0
"30",3,8,0
"31",3,16,0
"32",3,32,0
"33",4,0,0
"34",4,0.5,0.00256410256410256
"35",4,1,0
"36",4,2,0
"37",4,4,0
"38",4,8,0
"39",4,16,0
"40",4,32,0
"41",5,0,0
"42",5,0.5,0.00641025641025641
"43",5,1,0.0115384615384615
"44",5,2,0.0102564102564103
"45",5,4,0.00897435897435897
"46",5,8,0.00641025641025641
"47",5,16,0.00897435897435897
"48",5,32,0.00769230769230769
"49",6,0,0
"50",6,0.5,0.0128205128205128
"51",6,1,0.016025641025641
"52",6,2,0.0166666666666667
"53",6,4,0.0153846153846154
"54",6,8,0.0173076923076923
"55",6,16,0.016025641025641
"56",6,32,0.0166666666666667
"57",7,0,0.000319488817891374
"58",7,0.5,0.0233226837060703
"59",7,1,0.0249201277955272
"60",7,2,0.0258785942492013
"61",7,4,0.0261980830670927
"62",7,8,0.0220447284345048
"63",7,16,0.0271565495207668
"64",7,32,0.021405750798722
"65",8,0,0.00112
"66",8,0.5,0.03104
"67",8,1,0.03472
"68",8,2,0.03248
"69",8,4,0.03216
"70",8,8,0.03504
"71",8,16,0.03072
"72",8,32,0.03136
"73",9,0,0.000799360511590727
"74",9,0.5,0.0346123101518785
"75",9,1,0.0350119904076739
"76",9,2,0.0333333333333333
"77",9,4,0.035171862509992
"78",9,8,0.0339728217426059
"79",9,16,0.0344524380495604
"80",9,32,0.036290967226219
"81",10,0,0.000599760095961615
"82",10,0.5,0.034906037584966
"83",10,1,0.0358256697321072
"84",10,2,0.0352259096361455
"85",10,4,0.0367852858856457
"86",10,8,0.0365853658536585
"87",10,16,0.0373050779688125
"88",10,32,0.0363454618152739
"89",11,0,8e-04
"90",11,0.5,0.0364
"91",11,1,0.0371
"92",11,2,0.03694
"93",11,4,0.0367
"94",11,8,0.0381
"95",11,16,0.03748
"96",11,32,0.03748
