"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0.005
"26",3,0.5,0
"27",3,1,0
"28",3,2,0.01
"29",3,4,0
"30",3,8,0.005
"31",3,16,0.01
"32",3,32,0
"33",4,0,0.00769230769230769
"34",4,0.5,0.0282051282051282
"35",4,1,0.0230769230769231
"36",4,2,0.0307692307692308
"37",4,4,0.0333333333333333
"38",4,8,0.0282051282051282
"39",4,16,0.0358974358974359
"40",4,32,0.0358974358974359
"41",5,0,0.0269230769230769
"42",5,0.5,0.0564102564102564
"43",5,1,0.0730769230769231
"44",5,2,0.0833333333333333
"45",5,4,0.0987179487179487
"46",5,8,0.0897435897435897
"47",5,16,0.0846153846153846
"48",5,32,0.0935897435897436
"49",6,0,0.0294871794871795
"50",6,0.5,0.0794871794871795
"51",6,1,0.0871794871794872
"52",6,2,0.104487179487179
"53",6,4,0.117307692307692
"54",6,8,0.11474358974359
"55",6,16,0.11474358974359
"56",6,32,0.112179487179487
"57",7,0,0.0380191693290735
"58",7,0.5,0.0862619808306709
"59",7,1,0.111821086261981
"60",7,2,0.117891373801917
"61",7,4,0.119808306709265
"62",7,8,0.130670926517572
"63",7,16,0.130031948881789
"64",7,32,0.124600638977636
"65",8,0,0.03952
"66",8,0.5,0.09552
"67",8,1,0.112
"68",8,2,0.12576
"69",8,4,0.13152
"70",8,8,0.13024
"71",8,16,0.13824
"72",8,32,0.13376
"73",9,0,0.0398081534772182
"74",9,0.5,0.097761790567546
"75",9,1,0.112230215827338
"76",9,2,0.125579536370903
"77",9,4,0.132613908872902
"78",9,8,0.137010391686651
"79",9,16,0.139008792965627
"80",9,32,0.137649880095923
"81",10,0,0.0385845661735306
"82",10,0.5,0.0981607357057177
"83",10,1,0.11547381047581
"84",10,2,0.127469012395042
"85",10,4,0.135825669732107
"86",10,8,0.138984406237505
"87",10,16,0.141543382646941
"88",10,32,0.139824070371851
"89",11,0,0.03952
"90",11,0.5,0.10024
"91",11,1,0.11904
"92",11,2,0.12972
"93",11,4,0.13542
"94",11,8,0.13858
"95",11,16,0.1411
"96",11,32,0.14002
