"","beta","nPassesPerScan","meanRate"
"1",0.01,0,1.77908815242228
"2",0.01,0.5,1.76552480502991
"3",0.01,1,1.78047696905695
"4",0.01,2,1.77078827781472
"5",0.01,4,1.77529464099683
"6",0.01,8,1.78376952733162
"7",0.01,16,1.74257198618214
"8",0.01,32,1.78397361312632
"9",0.02,0,1.77870390393476
"10",0.02,0.5,1.76359551826841
"11",0.02,1,1.77884510880324
"12",0.02,2,1.76960825193028
"13",0.02,4,1.77478811598263
"14",0.02,8,1.78263858564427
"15",0.02,16,1.74106995956059
"16",0.02,32,1.78331522310892
"17",0.03,0,1.77904031552221
"18",0.03,0.5,1.76424439171301
"19",0.03,1,1.77902146165378
"20",0.03,2,1.76981766429648
"21",0.03,4,1.77487917304866
"22",0.03,8,1.78301821508975
"23",0.03,16,1.74152882501236
"24",0.03,32,1.7836704401207
"25",0.04,0,1.78009738718463
"26",0.04,0.5,1.7674714253637
"27",0.04,1,1.78100602760858
"28",0.04,2,1.7714165149133
"29",0.04,4,1.7755678121949
"30",0.04,8,1.78490841566808
"31",0.04,16,1.74394858253747
"32",0.04,32,1.78503926416167
"33",0.05,0,1.78177946810858
"34",0.05,0.5,1.77327661922049
"35",0.05,1,1.78479880666763
"36",0.05,2,1.77440480378075
"37",0.05,4,1.77685403342135
"38",0.05,8,1.78830918737924
"39",0.05,16,1.7483292321359
"40",0.05,32,1.78742169523181
"41",0.06,0,1.78410348142551
"42",0.06,0.5,1.78165997328338
"43",0.06,1,1.79039979883093
"44",0.06,2,1.77878253089883
"45",0.06,4,1.77873783672803
"46",0.06,8,1.79322053022324
"47",0.06,16,1.75467077380766
"48",0.06,32,1.79081773333114
"49",0.07,0,1.78487997129633
"50",0.07,0.5,1.79229233153229
"51",0.07,1,1.79667712672173
"52",0.07,2,1.7839777606948
"53",0.07,4,1.78044698933692
"54",0.07,8,1.79862608405208
"55",0.07,16,1.76156515126404
"56",0.07,32,1.79407059902766
"57",0.08,0,1.78697626085863
"58",0.08,0.5,1.797909359924
"59",0.08,1,1.80346005332977
"60",0.08,2,1.78370698692925
"61",0.08,4,1.77531994108935
"62",0.08,8,1.80026798257237
"63",0.08,16,1.76052889011646
"64",0.08,32,1.79312611410842
"65",0.09,0,1.79015072886735
"66",0.09,0.5,1.80228978491056
"67",0.09,1,1.80970354163087
"68",0.09,2,1.78554077254689
"69",0.09,4,1.77381921137963
"70",0.09,8,1.80286687123969
"71",0.09,16,1.7627026469579
"72",0.09,32,1.79325137438655
"73",0.1,0,1.79217157685566
"74",0.1,0.5,1.80675617360755
"75",0.1,1,1.81502564264629
"76",0.1,2,1.78966767166671
"77",0.1,4,1.77636504023635
"78",0.1,8,1.80642275005405
"79",0.1,16,1.76811705054467
"80",0.1,32,1.79533319411916
"81",0.11,0,1.79794139238444
"82",0.11,0.5,1.81130852601496
"83",0.11,1,1.81942635637603
"84",0.11,2,1.7960876842887
"85",0.11,4,1.78295742765953
"86",0.11,8,1.81093561901545
"87",0.11,16,1.77677210087679
"88",0.11,32,1.79937157330624
"89",0.12,0,1.80553003361826
"90",0.12,0.5,1.8159468421328
"91",0.12,1,1.82290568282009
"92",0.12,2,1.80480081041288
"93",0.12,4,1.79359637364916
"94",0.12,8,1.81640547812388
"95",0.12,16,1.78866779795425
"96",0.12,32,1.80536651194779
"97",0.13,0,1.81222000238618
"98",0.13,0.5,1.82067112196106
"99",0.13,1,1.82546362197847
"100",0.13,2,1.81580705003922
"101",0.13,4,1.80828187820525
"102",0.13,8,1.82283232737936
"103",0.13,16,1.80380414177705
"104",0.13,32,1.81331801004381
"105",0.14,0,1.81801584568484
"106",0.14,0.5,1.8241108910004
"107",0.14,1,1.82651621319872
"108",0.14,2,1.82914430223507
"109",0.14,4,1.82488513215889
"110",0.14,8,1.82899781062345
"111",0.14,16,1.82072206309841
"112",0.14,32,1.82208037718573
"113",0.15,0,1.82010612542684
"114",0.15,0.5,1.82905258592288
"115",0.15,1,1.82584001783627
"116",0.15,2,1.83946877569864
"117",0.15,4,1.83795756866442
"118",0.15,8,1.8325668588546
"119",0.15,16,1.83180841271768
"120",0.15,32,1.83088368928602
"121",0.16,0,1.81748606031823
"122",0.16,0.5,1.83600892742308
"123",0.16,1,1.82698904208387
"124",0.16,2,1.8489118088759
"125",0.16,4,1.84970359597646
"126",0.16,8,1.83773220906363
"127",0.16,16,1.84305133498743
"128",0.16,32,1.83811623941147
"129",0.17,0,1.8131308582895
"130",0.17,0.5,1.84467793265728
"131",0.17,1,1.82998695351187
"132",0.17,2,1.85725609174461
"133",0.17,4,1.86035295043458
"134",0.17,8,1.84449386125053
"135",0.17,16,1.85445368068108
"136",0.17,32,1.84482846571572
"137",0.18,0,1.81004619148291
"138",0.18,0.5,1.8550596016255
"139",0.18,1,1.83483375212026
"140",0.18,2,1.86450162430476
"141",0.18,4,1.86990563203879
"142",0.18,8,1.85285181541529
"143",0.18,16,1.86601544979862
"144",0.18,32,1.85102036819876
"145",0.19,0,1.81000048705251
"146",0.19,0.5,1.86715393432771
"147",0.19,1,1.84152943790903
"148",0.19,2,1.87064840655636
"149",0.19,4,1.87836164078908
"150",0.19,8,1.86280607155793
"151",0.19,16,1.87773664234005
"152",0.19,32,1.8566919468606
"153",0.2,0,1.81342958176867
"154",0.2,0.5,1.88102018994137
"155",0.2,1,1.8500740108782
"156",0.2,2,1.87566764788631
"157",0.2,4,1.88572097668545
"158",0.2,8,1.8742997879203
"159",0.2,16,1.88961601453658
"160",0.2,32,1.86252535391571
"161",0.21,0,1.81948086468412
"162",0.21,0.5,1.89269880711142
"163",0.21,1,1.85807395048816
"164",0.21,2,1.87888792463506
"165",0.21,4,1.89262999920085
"166",0.21,8,1.88123371418572
"167",0.21,16,1.90430673785896
"168",0.21,32,1.86292656551405
"169",0.22,0,1.82612258207484
"170",0.22,0.5,1.90090896201741
"171",0.22,1,1.8608941323677
"172",0.22,2,1.88356682854191
"173",0.22,4,1.9033103067948
"174",0.22,8,1.88864253051062
"175",0.22,16,1.92212860529111
"176",0.22,32,1.8648904368952
"177",0.23,0,1.83056049280533
"178",0.23,0.5,1.90908082114155
"179",0.23,1,1.86654453798242
"180",0.23,2,1.88979546032017
"181",0.23,4,1.91240951019474
"182",0.23,8,1.89774182450239
"183",0.23,16,1.9364677528882
"184",0.23,32,1.87149253708229
"185",0.24,0,1.83498630594243
"186",0.24,0.5,1.91838813731589
"187",0.24,1,1.87508344447256
"188",0.24,2,1.89761973486321
"189",0.24,4,1.91992760940067
"190",0.24,8,1.90853159616102
"191",0.24,16,1.94727589157387
"192",0.24,32,1.8826827605465
"193",0.25,0,1.83688837684794
"194",0.25,0.5,1.9288309105404
"195",0.25,1,1.88651085183814
"196",0.25,2,1.90703965217102
"197",0.25,4,1.92586460441259
"198",0.25,8,1.92101184548653
"199",0.25,16,1.95455302134813
"200",0.25,32,1.89846110728783
"201",0.26,0,1.83686856244051
"202",0.26,0.5,1.94040914081511
"203",0.26,1,1.90082676007915
"204",0.26,2,1.91805521224361
"205",0.26,4,1.9302204952305
"206",0.26,8,1.9351825724789
"207",0.26,16,1.95829914221097
"208",0.26,32,1.91882757730629
"209",0.27,0,1.83686569422052
"210",0.27,0.5,1.95304297934252
"211",0.27,1,1.91803116919558
