"","round","nPassesPerScan","meanRate"
"1",0,0,0.0438262726580086
"2",0,0.5,0.0439860324585191
"3",0,1,0.0430177011087149
"4",0,2,0.0429956915603047
"5",0,4,0.0433029132643937
"6",0,8,0.0431537858091098
"7",0,16,0.0430290523198084
"8",0,32,0.0434074674925979
"9",1,0,0.0643017678415165
"10",1,0.5,0.0626309083723571
"11",1,1,0.0624815709975131
"12",1,2,0.0615600347999197
"13",1,4,0.0606648268905372
"14",1,8,0.0621795060742576
"15",1,16,0.0605635049757313
"16",1,32,0.0606920509315591
"17",2,0,0.0927556956799684
"18",2,0.5,0.0841523843539585
"19",2,1,0.0823262116714975
"20",2,2,0.0827194060034732
"21",2,4,0.0805963573860833
"22",2,8,0.0828322652922165
"23",2,16,0.0830173688980805
"24",2,32,0.0825952173828129
"25",3,0,0.120388857970987
"26",3,0.5,0.103659858275916
"27",3,1,0.10450329946441
"28",3,2,0.105161501629713
"29",3,4,0.104989896982955
"30",3,8,0.105216963477473
"31",3,16,0.103697335325179
"32",3,32,0.10504371967285
"33",4,0,0.139891759882916
"34",4,0.5,0.121098129319163
"35",4,1,0.121422185455246
"36",4,2,0.121455055661965
"37",4,4,0.124131367180215
"38",4,8,0.122331492969436
"39",4,16,0.122498889684005
"40",4,32,0.119999326892893
"41",5,0,0.163295133519499
"42",5,0.5,0.134905150846168
"43",5,1,0.134145512818667
"44",5,2,0.133856521030032
"45",5,4,0.13468240919602
"46",5,8,0.131187917332093
"47",5,16,0.133315395438592
"48",5,32,0.131711932779887
"49",6,0,0.172364108792627
"50",6,0.5,0.140052519446428
"51",6,1,0.140335861863414
"52",6,2,0.141251733530411
"53",6,4,0.141283615287873
"54",6,8,0.140816033207267
"55",6,16,0.139598260609577
"56",6,32,0.139550800702145
"57",7,0,0.176231252430937
"58",7,0.5,0.145357874160351
"59",7,1,0.144855846841979
"60",7,2,0.145130659822415
"61",7,4,0.144863166010921
"62",7,8,0.145545177119757
"63",7,16,0.144344722990847
"64",7,32,0.144616525709747
"65",8,0,0.179588332322672
"66",8,0.5,0.147356335609775
"67",8,1,0.147611912336658
"68",8,2,0.147120257765618
"69",8,4,0.147134487382312
"70",8,8,0.147028892766647
"71",8,16,0.146973368362887
"72",8,32,0.146955414630723
"73",9,0,0.18000280519632
"74",9,0.5,0.148822965147288
"75",9,1,0.148634014088045
"76",9,2,0.147907452063973
"77",9,4,0.148796837563638
"78",9,8,0.14877726730109
"79",9,16,0.148068924239311
"80",9,32,0.148863500458528
"81",10,0,0.181644517024048
"82",10,0.5,0.149304969532598
"83",10,1,0.14912988643682
"84",10,2,0.149276029621831
"85",10,4,0.14960507900422
"86",10,8,0.149565543783915
"87",10,16,0.149072984432046
"88",10,32,0.14879332295107
"89",11,0,0.177182210509576
"90",11,0.5,0.149398864993664
"91",11,1,0.149762221455874
"92",11,2,0.14961372084174
"93",11,4,0.149560168592248
"94",11,8,0.14935172629499
"95",11,16,0.149512821294054
"96",11,32,0.14954229116825
