"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0
"26",3,0.5,0.01
"27",3,1,0
"28",3,2,0
"29",3,4,0
"30",3,8,0
"31",3,16,0
"32",3,32,0
"33",4,0,0.0128205128205128
"34",4,0.5,0.0256410256410256
"35",4,1,0.0205128205128205
"36",4,2,0.0205128205128205
"37",4,4,0.0358974358974359
"38",4,8,0.0461538461538462
"39",4,16,0.0512820512820513
"40",4,32,0.0282051282051282
"41",5,0,0.0217948717948718
"42",5,0.5,0.0551282051282051
"43",5,1,0.0576923076923077
"44",5,2,0.0756410256410256
"45",5,4,0.0794871794871795
"46",5,8,0.0846153846153846
"47",5,16,0.0820512820512821
"48",5,32,0.0820512820512821
"49",6,0,0.0294871794871795
"50",6,0.5,0.0634615384615385
"51",6,1,0.0788461538461538
"52",6,2,0.091025641025641
"53",6,4,0.106410256410256
"54",6,8,0.110897435897436
"55",6,16,0.117307692307692
"56",6,32,0.104487179487179
"57",7,0,0.031629392971246
"58",7,0.5,0.0747603833865815
"59",7,1,0.0936102236421725
"60",7,2,0.111501597444089
"61",7,4,0.113418530351438
"62",7,8,0.123961661341853
"63",7,16,0.119808306709265
"64",7,32,0.127476038338658
"65",8,0,0.0392
"66",8,0.5,0.08704
"67",8,1,0.10192
"68",8,2,0.1152
"69",8,4,0.12304
"70",8,8,0.12976
"71",8,16,0.12784
"72",8,32,0.12992
"73",9,0,0.0361310951239009
"74",9,0.5,0.085771382893685
"75",9,1,0.106554756195044
"76",9,2,0.118545163868905
"77",9,4,0.131654676258993
"78",9,8,0.129096722621902
"79",9,16,0.132533972821743
"80",9,32,0.134772182254197
"81",10,0,0.0369452219112355
"82",10,0.5,0.0884446221511395
"83",10,1,0.107357057177129
"84",10,2,0.12015193922431
"85",10,4,0.128548580567773
"86",10,8,0.134626149540184
"87",10,16,0.132706917233107
"88",10,32,0.133706517393043
"89",11,0,0.03556
"90",11,0.5,0.08834
"91",11,1,0.1076
"92",11,2,0.12148
"93",11,4,0.13028
"94",11,8,0.13134
"95",11,16,0.13388
"96",11,32,0.13548
