"","beta","nPassesPerScan","meanRate"
"1",0.01,0,53.4800838472319
"2",0.01,0.5,47.2479773473002
"3",0.01,1,45.9480809255128
"4",0.01,2,47.5616192930454
"5",0.01,4,46.593995580626
"6",0.01,8,42.4109183564557
"7",0.01,16,43.7990610561816
"8",0.01,32,45.9033435909693
"9",0.02,0,25.9292995096145
"10",0.02,0.5,29.8551224726582
"11",0.02,1,29.0651379237702
"12",0.02,2,29.4996186024962
"13",0.02,4,28.7406388917397
"14",0.02,8,29.2937304032921
"15",0.02,16,29.5088549675826
"16",0.02,32,28.9407664323787
"17",0.03,0,18.2082512666709
"18",0.03,0.5,24.8400656736846
"19",0.03,1,24.4591163324805
"20",0.03,2,24.3591034426212
"21",0.03,4,24.5113219057652
"22",0.03,8,23.9573253674343
"23",0.03,16,24.2379453722079
"24",0.03,32,24.5306257064442
"25",0.04,0,14.1296007254485
"26",0.04,0.5,19.1141871059177
"27",0.04,1,19.454731138141
"28",0.04,2,19.1448571964822
"29",0.04,4,19.1329258310641
"30",0.04,8,19.2170888902403
"31",0.04,16,19.3335534336499
"32",0.04,32,19.1961414546368
"33",0.05,0,11.163639379444
"34",0.05,0.5,15.7623050307339
"35",0.05,1,16.3000186960239
"36",0.05,2,15.856475255169
"37",0.05,4,15.9587167322295
"38",0.05,8,15.9526864609962
"39",0.05,16,16.0602519868576
"40",0.05,32,16.0071991682278
"41",0.06,0,8.70746230908068
"42",0.06,0.5,14.9263880729305
"43",0.06,1,15.3319157044685
"44",0.06,2,15.0479807110486
"45",0.06,4,15.0481589638012
"46",0.06,8,14.9216034378552
"47",0.06,16,15.1105249773212
"48",0.06,32,15.1448962757925
"49",0.07,0,6.76269310990916
"50",0.07,0.5,13.7318997755151
"51",0.07,1,13.973967868747
"52",0.07,2,13.9769904947632
"53",0.07,4,14.0015490388034
"54",0.07,8,13.9555826941306
"55",0.07,16,14.0940469657035
"56",0.07,32,13.9125763092458
"57",0.08,0,5.48560497425389
"58",0.08,0.5,12.4094283853218
"59",0.08,1,12.5988945237741
"60",0.08,2,12.6792754509697
"61",0.08,4,12.6925067175983
"62",0.08,8,12.671142556277
"63",0.08,16,12.8038783909343
"64",0.08,32,12.583603248681
"65",0.09,0,4.91806266285524
