"","round","nPassesPerScan","meanRate"
"1",0,0,0
"2",0,0.5,0
"3",0,1,0
"4",0,2,0
"5",0,4,0
"6",0,8,0
"7",0,16,0
"8",0,32,0
"9",1,0,0
"10",1,0.5,0
"11",1,1,0
"12",1,2,0
"13",1,4,0
"14",1,8,0
"15",1,16,0
"16",1,32,0
"17",2,0,0
"18",2,0.5,0
"19",2,1,0
"20",2,2,0
"21",2,4,0
"22",2,8,0
"23",2,16,0
"24",2,32,0
"25",3,0,0
"26",3,0.5,0
"27",3,1,0
"28",3,2,0
"29",3,4,0
"30",3,8,0
"31",3,16,0
"32",3,32,0
"33",4,0,0
"34",4,0.5,0
"35",4,1,0
"36",4,2,0
"37",4,4,0
"38",4,8,0
"39",4,16,0
"40",4,32,0
"41",5,0,0
"42",5,0.5,0
"43",5,1,0
"44",5,2,0
"45",5,4,0
"46",5,8,0
"47",5,16,0
"48",5,32,0
"49",6,0,0.00384615384615385
"50",6,0.5,0
"51",6,1,0
"52",6,2,0
"53",6,4,0
"54",6,8,0.00128205128205128
"55",6,16,0
"56",6,32,0
"57",7,0,0.00287539936102236
"58",7,0.5,0
"59",7,1,0.000319488817891374
"60",7,2,0.000958466453674121
"61",7,4,0.000319488817891374
"62",7,8,0.00191693290734824
"63",7,16,0.00159744408945687
"64",7,32,0.00351437699680511
"65",8,0,0.0024
"66",8,0.5,0
"67",8,1,0.00048
"68",8,2,0.00208
"69",8,4,0.00432
"70",8,8,0.00352
"71",8,16,0.00656
"72",8,32,0.00976
"73",9,0,0.00127897681854516
"74",9,0.5,0.000639488409272582
"75",9,1,0.00151878497202238
"76",9,2,0.00343725019984013
"77",9,4,0.00543565147881695
"78",9,8,0.00695443645083933
"79",9,16,0.00855315747402078
"80",9,32,0.0116706634692246
"81",10,0,0.00131947221111555
"82",10,0.5,0.00139944022391044
"83",10,1,0.00283886445421831
"84",10,2,0.00391843262694922
"85",10,4,0.00595761695321871
"86",10,8,0.00815673730507797
"87",10,16,0.0106757297081168
"88",10,32,0.0120751699320272
"89",11,0,0.00064
"90",11,0.5,0.0018
"91",11,1,0.0032
"92",11,2,0.00496
"93",11,4,0.00668
"94",11,8,0.00914
"95",11,16,0.01128
"96",11,32,0.01336
