"","beta","nChains","meanRate"
"1",0.01,20,1.76764176828423
"2",0.01,40,1.77612958261493
"3",0.01,80,1.78227422901782
"4",0.01,160,1.79586975076622
"5",0.01,320,1.78890696767459
"6",0.01,640,1.82511964790978
"7",0.02,20,1.76660102296369
"8",0.02,40,1.77692190933544
"9",0.02,80,1.77897633689175
"10",0.02,160,1.80556652409808
"11",0.02,320,1.79761622499451
"12",0.02,640,1.80398435180497
"13",0.03,20,1.76685025432046
"14",0.03,40,1.77970532916556
"15",0.03,80,1.78037829264052
"16",0.03,160,1.7850027479628
"17",0.03,320,1.80631872272447
"18",0.03,640,1.83288216782857
"19",0.04,20,1.76838946235455
"20",0.04,40,1.78112100707341
"21",0.04,80,1.78748369774949
"22",0.04,160,1.78796419961274
"23",0.04,320,1.81500352800021
"24",0.04,640,1.8126188050099
"25",0.05,20,1.77121864706595
"26",0.05,40,1.78321143115846
"27",0.05,80,1.78928534425959
"28",0.05,160,1.78874378990115
"29",0.05,320,1.8025823603821
"30",0.05,640,1.81090633632064
"31",0.06,20,1.77533780845467
"32",0.06,40,1.78812362404721
"33",0.06,80,1.7892284884395
"34",0.06,160,1.80756304815696
"35",0.06,320,1.81190781605869
"36",0.06,640,1.82907412585365
"37",0.07,20,1.78018127156403
"38",0.07,40,1.79552596690957
"39",0.07,80,1.80427763400271
"40",0.07,160,1.81657763992034
"41",0.07,320,1.80802827240577
"42",0.07,640,1.81916106687061
"43",0.08,20,1.77983915477684
"44",0.08,40,1.80105457648432
"45",0.08,80,1.81324158029464
"46",0.08,160,1.79905535443013
"47",0.08,320,1.82523251449928
"48",0.08,640,1.83329627557251
"49",0.09,20,1.78139299787722
"50",0.09,40,1.80527103396863
"51",0.09,80,1.81787420410817
"52",0.09,160,1.81428172455496
"53",0.09,320,1.82962934199977
"54",0.09,640,1.84792565335666
"55",0.1,20,1.78491918196358
"56",0.1,40,1.8084338707425
"57",0.1,80,1.82167869316027
"58",0.1,160,1.81270509591472
"59",0.1,320,1.82244951776208
"60",0.1,640,1.8413407595696
"61",0.11,20,1.79041770703592
"62",0.11,40,1.81265431633094
"63",0.11,80,1.82607793342397
"64",0.11,160,1.82297522154933
"65",0.11,320,1.83816439565178
"66",0.11,640,1.84254704317819
"67",0.12,20,1.79788857309424
"68",0.12,40,1.81661123593278
"69",0.12,80,1.81944941196415
"70",0.12,160,1.82257752539755
"71",0.12,320,1.82563882108999
"72",0.12,640,1.85894844979211
"73",0.13,20,1.80733178013854
"74",0.13,40,1.82065095470157
"75",0.13,80,1.82073444890361
"76",0.13,160,1.82128686892077
"77",0.13,320,1.85486182290609
"78",0.13,640,1.85888452774488
"79",0.14,20,1.8177600833625
"80",0.14,40,1.82265879954458
"81",0.14,80,1.82380612279568
"82",0.14,160,1.82510255284481
"83",0.14,320,1.85796168376246
"84",0.14,640,1.86350823919485
"85",0.15,20,1.8255447699833
"86",0.15,40,1.82828818442646
"87",0.15,80,1.83362652839754
"88",0.15,160,1.82091207578016
"89",0.15,320,1.84356789002729
"90",0.15,640,1.87714856048702
"91",0.16,20,1.83332460754716
"92",0.16,40,1.83846800586813
"93",0.16,80,1.84468252701913
"94",0.16,160,1.8494595491817
"95",0.16,320,1.85891042828261
"96",0.16,640,1.874637676882
"97",0.17,20,1.8410995960541
"98",0.17,40,1.84946368969621
"99",0.17,80,1.8607181580505
"100",0.17,160,1.85790056182488
"101",0.17,320,1.86298179880715
"102",0.17,640,1.88080343700266
"103",0.18,20,1.84886973550411
"104",0.18,40,1.85834157531754
"105",0.18,80,1.86946677099333
"106",0.18,160,1.84750436822679
"107",0.18,320,1.87425648183562
"108",0.18,640,1.88367441742104
"109",0.19,20,1.85663502589719
"110",0.19,40,1.8664611628478
"111",0.19,80,1.87522786959313
"112",0.19,160,1.85867585203796
"113",0.19,320,1.88227977820045
"114",0.19,640,1.90357847200029
"115",0.2,20,1.86439546723333
"116",0.2,40,1.8745935735537
"117",0.2,80,1.85593164212092
"118",0.2,160,1.87357476194734
"119",0.2,320,1.8963610033423
"120",0.2,640,1.9126095078323
"121",0.21,20,1.8710409439943
"122",0.21,40,1.88251401965615
"123",0.21,80,1.85911690034779
"124",0.21,160,1.88755964720683
"125",0.21,320,1.89316396950674
"126",0.21,640,1.9105504227682
