"","round","nChains","meanRate"
"1",0,20,0
"2",0,40,0
"3",0,80,0
"4",0,160,0
"5",0,320,0
"6",0,640,0
"7",1,20,0
"8",1,40,0
"9",1,80,0
"10",1,160,0
"11",1,320,0
"12",1,640,0
"13",2,20,0
"14",2,40,0
"15",2,80,0
"16",2,160,0
"17",2,320,0
"18",2,640,0
"19",3,20,0
"20",3,40,0
"21",3,80,0
"22",3,160,0
"23",3,320,0
"24",3,640,0
"25",4,20,0.00416666666666667
"26",4,40,0
"27",4,80,0
"28",4,160,0
"29",4,320,0
"30",4,640,0
"31",5,20,0.0306122448979592
"32",5,40,0.0102040816326531
"33",5,80,0
"34",5,160,0
"35",5,320,0
"36",5,640,0
"37",6,20,0.0561224489795918
"38",6,40,0.0438775510204082
"39",6,80,0.0122448979591837
"40",6,160,0
"41",6,320,0
"42",6,640,0
"43",7,20,0.0712820512820513
"44",7,40,0.0728205128205128
"45",7,80,0.0492307692307692
"46",7,160,0.00923076923076923
"47",7,320,0
"48",7,640,0
"49",8,20,0.0872122762148338
"50",8,40,0.0936061381074169
"51",8,80,0.0843989769820972
"52",8,160,0.0539641943734015
"53",8,320,0.00818414322250639
"54",8,640,0
"55",9,20,0.0841229193341869
"56",9,40,0.103969270166453
"57",9,80,0.102816901408451
"58",9,160,0.0901408450704225
"59",9,320,0.0568501920614597
"60",9,640,0.00985915492957746
"61",10,20,0.0872680742162508
"62",10,40,0.103774792066539
"63",10,80,0.116634676903391
"64",10,160,0.113307741522713
"65",10,320,0.0951375559820857
"66",10,640,0.0577735124760077
"67",11,20,0.088192
"68",11,40,0.106688
"69",11,80,0.12112
"70",11,160,0.123744
"71",11,320,0.120448
"72",11,640,0.09984
"73",12,20,0.0887697968325068
"74",12,40,0.108190689489682
"75",12,80,0.124316109422492
"76",12,160,0.130411134218525
"77",12,320,0.131898896176612
"78",12,640,0.122396416573348
"79",13,20,0.0894808415326774
"80",13,40,0.109799216062715
"81",13,80,0.124654027677786
"82",13,160,0.133765298776098
"83",13,320,0.136709063274938
"84",13,640,0.133813294936405
"85",14,20,0.08908
"86",14,40,0.110548
"87",14,80,0.124972
"88",14,160,0.13582
"89",14,320,0.13936
"90",14,640,0.141168
