"","variable","value","postAdaptTime_ms","samplingTime_ms","model","engine","method","isStochasticOpt"
"1","indicators",124.709369479875,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"2","indicators",572.285575794496,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"3","indicators",214.12817332252,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"4","indicators",1389.4291546462,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"5","indicators",123.385934405138,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"6","indicators",123.218804329214,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"7","indicators",126.599535849333,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"8","indicators",129.24309116557,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"9","indicators",123.56313623387,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"10","indicators",133.831377696032,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"11","indicators",180.107129136271,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"12","indicators",1251.02252151548,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"13","indicators",335.367521324479,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"14","indicators",123.044336570428,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"15","indicators",175.028281111495,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"16","indicators",127.623260351109,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"17","indicators",152.113741384402,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"18","indicators",123.54969852923,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"19","indicators",123.515949888185,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"20","indicators",126.220532514356,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"21","indicators",124.590508112202,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"22","indicators",123.102429012632,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"23","indicators",122.99389492777,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"24","indicators",122.99389492777,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"25","indicators",1715.83323767641,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"26","indicators",124.074173270678,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"27","indicators",1408.83065979134,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"28","indicators",124.481313793227,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"29","indicators",131.772732388179,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"30","indicators",164.065822967749,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"31","indicators",126.626494525925,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"32","indicators",125.330216795334,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"33","indicators",126.033419537431,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"34","indicators",123.104794639953,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"35","indicators",143.518231761823,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"36","indicators",122.981568854162,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"37","indicators",124.211459986304,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"38","indicators",130.253881576663,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"39","indicators",174.536918353974,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"40","indicators",157.306810633271,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"41","indicators",137.834611946065,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"42","indicators",122.994393356274,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"43","indicators",123.247954290652,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"44","indicators",129.212193048726,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"45","indicators",398.583869692675,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"46","indicators",1595.98729987199,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"47","indicators",122.992894839898,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"48","indicators",124.396322660093,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"49","indicators",160.892150339088,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"50","indicators",122.994890708039,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"51","indicators",122.994393356274,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"52","indicators",122.992894839898,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"53","indicators",141.015283862699,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"54","indicators",141.301564978493,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"55","indicators",564.972762787833,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"56","indicators",143.71408527887,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"57","indicators",274.040828503209,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"58","indicators",848.952771308199,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"59","indicators",131.350318870653,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"60","indicators",569.909588900117,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"61","indicators",262.540147922549,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"62","indicators",139.039972068211,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"63","indicators",126.935319079831,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"64","indicators",122.994393356274,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"65","indicators",134.679431042864,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"66","indicators",123.288436067402,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"67","indicators",2129.17298160342,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"68","indicators",123.324057131119,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"69","indicators",125.491107965382,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"70","indicators",123.220180503845,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"71","indicators",123.169608561582,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"72","indicators",142.195708662697,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"73","indicators",126.305150790645,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"74","indicators",123.339053205223,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"75","indicators",291.966553324363,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"76","indicators",130.574136823335,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"77","indicators",123.598541469397,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"78","indicators",123.907994664746,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"79","indicators",149.53246616671,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"80","indicators",124.403025147638,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"81","indicators",128.675307009721,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"82","indicators",122.995386982802,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"83","indicators",290.688408044764,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"84","indicators",254.532524668895,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"85","indicators",125.68315782463,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"86","indicators",122.994890708039,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"87","indicators",145.264075963393,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"88","indicators",123.039427401507,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"89","indicators",123.136514577863,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"90","indicators",141.854713463407,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"91","indicators",318.412967436277,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"92","indicators",123.223357935873,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"93","indicators",123.09995603836,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"94","indicators",122.994393356274,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"95","indicators",180.847450023298,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
"96","indicators",122.991890444544,189873,380754,"SimpleMixture","PT","Non-reversible PT",0
