isAdapt,round,chain,value
true,0,0,1.0
true,0,1,0.9655172413793104
true,0,2,0.9310344827586207
true,0,3,0.896551724137931
true,0,4,0.8620689655172413
true,0,5,0.8275862068965517
true,0,6,0.7931034482758621
true,0,7,0.7586206896551724
true,0,8,0.7241379310344828
true,0,9,0.6896551724137931
true,0,10,0.6551724137931034
true,0,11,0.6206896551724138
true,0,12,0.5862068965517241
true,0,13,0.5517241379310345
true,0,14,0.5172413793103449
true,0,15,0.4827586206896552
true,0,16,0.4482758620689655
true,0,17,0.41379310344827586
true,0,18,0.3793103448275862
true,0,19,0.3448275862068966
true,0,20,0.3103448275862069
true,0,21,0.27586206896551724
true,0,22,0.2413793103448276
true,0,23,0.20689655172413793
true,0,24,0.1724137931034483
true,0,25,0.13793103448275862
true,0,26,0.10344827586206896
true,0,27,0.06896551724137931
true,0,28,0.034482758620689655
true,1,0,1.0
true,1,1,0.9591473359541329
true,1,2,0.9254739230479065
true,1,3,0.8880700458428759
true,1,4,0.8608042844435541
true,1,5,0.8260671816085187
true,1,6,0.7847332973723278
true,1,7,0.7419033202671055
true,1,8,0.7119041753761528
true,1,9,0.6837792229580353
true,1,10,0.6467112690911574
true,1,11,0.6145556114740937
true,1,12,0.5888310026928322
true,1,13,0.556786004441617
true,1,14,0.5131516775373985
true,1,15,0.46771047132488575
true,1,16,0.4342118074466254
true,1,17,0.4028185973116518
true,1,18,0.36976057489150604
true,1,19,0.3440297699357885
true,1,20,0.300496222685004
true,1,21,0.2727155214304434
true,1,22,0.24647161132501674
true,1,23,0.20154821162538278
true,1,24,0.16228369447593533
true,1,25,0.12738285201285904
true,1,26,0.09164593179080997
true,1,27,0.06230289221856159
true,1,28,0.02264590764748411
true,2,0,1.0
true,2,1,0.9693939464889854
true,2,2,0.9318173903143683
true,2,3,0.8822603875546537
true,2,4,0.8273627976168902
true,2,5,0.7942181410117138
true,2,6,0.748977275992425
true,2,7,0.7127180339632568
true,2,8,0.6843271538666118
true,2,9,0.646594270614765
true,2,10,0.6082040937685521
true,2,11,0.5646123731815111
true,2,12,0.5297438044103725
true,2,13,0.4904084194674425
true,2,14,0.4536132719203446
true,2,15,0.42648597158399804
true,2,16,0.4003729900157465
true,2,17,0.3672627238231501
true,2,18,0.3405076756723293
true,2,19,0.3014327126419273
true,2,20,0.27140498183331824
true,2,21,0.2473896849605299
true,2,22,0.2051922313367414
true,2,23,0.16567734151816005
true,2,24,0.1293041653078917
true,2,25,0.09501431162754674
true,2,26,0.05866558973019682
true,2,27,0.0261885275584976
true,2,28,0.011620244527378294
true,3,0,1.0
true,3,1,0.9583864564537491
true,3,2,0.9120211010301378
true,3,3,0.870319573578304
true,3,4,0.8331504278595007
true,3,5,0.8043028736105704
true,3,6,0.7624477793219907
true,3,7,0.7085923139392998
true,3,8,0.6755581829325755
true,3,9,0.6271888899252094
true,3,10,0.5861410349720978
true,3,11,0.5315631062343771
true,3,12,0.5016969132774968
true,3,13,0.4645853256077045
true,3,14,0.427372859605675
true,3,15,0.4041872481704033
true,3,16,0.3677011711095382
true,3,17,0.3336544632728182
true,3,18,0.3005108766082425
true,3,19,0.2691385265155637
true,3,20,0.23346128105472866
true,3,21,0.18695015049599323
true,3,22,0.12611912593078822
true,3,23,0.10532763903759751
true,3,24,0.08315800468511622
true,3,25,0.0568333335365167
true,3,26,0.02553110549767408
true,3,27,0.010608373173530267
true,3,28,0.005033330902207411
true,4,0,1.0
true,4,1,0.9607512501532566
true,4,2,0.9106480322967864
true,4,3,0.8486270119233587
true,4,4,0.8042006770108066
true,4,5,0.7572015668434898
true,4,6,0.7193543491176597
true,4,7,0.6765707445039091
true,4,8,0.6323686702294482
true,4,9,0.5993915670901787
true,4,10,0.5644047510331188
true,4,11,0.527155784304456
true,4,12,0.4889115686477652
true,4,13,0.43946338619901915
true,4,14,0.406546784462364
true,4,15,0.365515389382168
true,4,16,0.3428035639024035
true,4,17,0.31241503877425175
true,4,18,0.2831661455393214
true,4,19,0.2519014536484888
true,4,20,0.21070526026934694
true,4,21,0.16805507309875498
true,4,22,0.1278838987813843
true,4,23,0.0950912404613496
true,4,24,0.06135112789633001
true,4,25,0.03311760902804789
true,4,26,0.015306000547763718
true,4,27,0.004286230635863927
true,4,28,0.0020413152712615563
true,5,0,1.0
true,5,1,0.9482749327726505
true,5,2,0.8872395330566533
true,5,3,0.8390380529798598
true,5,4,0.7699326099054405
true,5,5,0.7180459884413096
true,5,6,0.6732923439892821
true,5,7,0.6334898760853852
true,5,8,0.5959733297835289
true,5,9,0.5516018855005367
true,5,10,0.5195551281177703
true,5,11,0.4858427644152128
true,5,12,0.43596210912713473
true,5,13,0.406773869142558
true,5,14,0.3526163496475239
true,5,15,0.30857704972628014
true,5,16,0.26382660313809625
true,5,17,0.22764903569518313
true,5,18,0.18764530763691253
