round,isAdapt,beta,value
0,true,0.01,0.30492775000000005
0,true,0.02,0.615322
0,true,0.03,0.8945992500000002
0,true,0.04,1.1042171238541514
0,true,0.05,1.238278560698293
0,true,0.06,1.3559768427203605
0,true,0.07,1.521047728214293
0,true,0.08,1.7618437604202577
0,true,0.09,2.03621635325273
0,true,0.1,2.295541763427724
0,true,0.11,2.4991633635717743
0,true,0.12,2.6620180962468383
0,true,0.13,2.8162879355946604
0,true,0.14,2.9932008716823084
0,true,0.15,3.201115989182331
0,true,0.16,3.4195532046498895
0,true,0.17,3.627455633781149
0,true,0.18,3.810822838206842
0,true,0.19,3.979081432414784
0,true,0.2,4.138270105393438
0,true,0.21,4.291954022545809
0,true,0.22,4.423749856936117
0,true,0.23,4.554862046921608
0,true,0.24,4.718662426082922
0,true,0.25,4.9411223760143965
0,true,0.26,5.205211440176731
0,true,0.27,5.478432038516432
0,true,0.28,5.733520600443781
0,true,0.29,5.987936141176991
0,true,0.3,6.2321831123584115
0,true,0.31,6.446980596900922
0,true,0.32,6.605098675150161
0,true,0.33,6.7259147050688295
0,true,0.34,6.864287777261498
0,true,0.35,7.0720637205389325
0,true,0.36,7.346471695963386
0,true,0.37,7.637969475498503
0,true,0.38,7.895607670221577
0,true,0.39,8.098084931920903
0,true,0.4,8.275297668173604
0,true,0.41,8.45813502051516
0,true,0.42,8.673849006948334
0,true,0.43,8.915230951826391
0,true,0.44,9.157831461462115
0,true,0.45,9.377602301851258
0,true,0.46,9.572651537821017
0,true,0.47,9.752458130523825
0,true,0.48,9.921269878387033
0,true,0.49,10.078945653869713
0,true,0.5,10.221824917749732
0,true,0.51,10.361101962105186
0,true,0.52,10.507708139062958
0,true,0.53,10.654920203783437
0,true,0.54,10.806748916647962
0,true,0.55,10.973976901971133
0,true,0.56,11.162152143312461
0,true,0.57,11.3661782221917
0,true,0.58,11.585787434899942
0,true,0.59,11.822980578155326
0,true,0.6,12.090122480810127
0,true,0.61,12.366285175542147
0,true,0.62,12.623115985634294
0,true,0.63,12.846250746055922
0,true,0.64,13.049917295733223
0,true,0.65,13.245022138292647
0,true,0.66,13.43841193721034
0,true,0.67,13.618636062584216
0,true,0.68,13.801110529194712
0,true,0.69,14.006292767597083
0,true,0.7,14.250846359668234
0,true,0.71,14.517699696272341
0,true,0.72,14.777630582495604
0,true,0.73,15.008520896724256
0,true,0.74,15.223204987840766
0,true,0.75,15.422303864017877
0,true,0.76,15.603463984749537
0,true,0.77,15.756270614928955
0,true,0.78,15.891708726748158
0,true,0.79,16.031870399877377
0,true,0.8,16.191651072916
0,true,0.81,16.360914359223578
0,true,0.82,16.53833290362846
0,true,0.83,16.72351851583343
0,true,0.84,16.913938868349025
0,true,0.85,17.112871577673207
0,true,0.86,17.325712776411336
0,true,0.87,17.56432653313802
0,true,0.88,17.827803946549842
0,true,0.89,18.084994981709254
0,true,0.9,18.304689642434983
0,true,0.91,18.481091683329538
0,true,0.92,18.64065196359477
0,true,0.93,18.8118024996799
0,true,0.94,19.013243144519905
0,true,0.95,19.230052923450998
0,true,0.96,19.442246537538306
0,true,0.97,19.631379660467594
0,true,0.98,19.799465192486323
0,true,0.99,19.95819800376251
1,true,0.01,0.47393430896227906
1,true,0.02,0.9102390455628272
1,true,0.03,1.197379619904993
1,true,0.04,1.3890825788287233
1,true,0.05,1.5330502889286086
1,true,0.06,1.6738635009510363
1,true,0.07,1.8316100735489318
1,true,0.08,1.9786703930608494
1,true,0.09,2.1266657271088967
1,true,0.1,2.2843618141967243
1,true,0.11,2.4465442140277442
1,true,0.12,2.6087782264590236
1,true,0.13,2.7669502726885593
1,true,0.14,2.922054069953142
1,true,0.15,3.0747082750619636
1,true,0.16,3.2241309812305396
1,true,0.17,3.3699701882071147
1,true,0.18,3.5128451701601318
1,true,0.19,3.6528164588748226
1,true,0.2,3.7899139869837857
1,true,0.21,3.917270791748823
1,true,0.22,4.031878163614127
1,true,0.23,4.149583124090039
1,true,0.24,4.286528493193052
1,true,0.25,4.461090185648042
1,true,0.26,4.691870964227675
1,true,0.27,4.930346762788141
1,true,0.28,5.13320821697349
1,true,0.29,5.318209196035215
1,true,0.3,5.488878976114084
1,true,0.31,5.639780654003943
1,true,0.32,5.773369449496224
1,true,0.33,5.906263110243127
1,true,0.34,6.055105170576832
1,true,0.35,6.2393676703623315
1,true,0.36,6.459170404715183
1,true,0.37,6.667728633828443
1,true,0.38,6.83846152376763
1,true,0.39,6.993880754083577
1,true,0.4,7.159140154089022
1,true,0.41,7.355332265075853
1,true,0.42,7.573670037592223
1,true,0.43,7.792797508866758
1,true,0.44,7.99748169529314
1,true,0.45,8.198076917580314
1,true,0.46,8.387120352565608
1,true,0.47,8.554168254296842
1,true,0.48,8.693155307847533
1,true,0.49,8.81468526400986
1,true,0.5,8.932531920955938
1,true,0.51,9.060469076857883
1,true,0.52,9.20977251251478
1,true,0.53,9.375038491718854
1,true,0.54,9.545498851465048
1,true,0.55,9.710510267297078
1,true,0.56,9.859626927355684
1,true,0.57,9.991066034621817
1,true,0.58,10.114462745397294
1,true,0.59,10.240069590789531
1,true,0.6,10.367347275231733
1,true,0.61,10.496843792490665
1,true,0.62,10.634559556608028
1,true,0.63,10.779633109357569
1,true,0.64,10.927502356102636
1,true,0.65,11.073289160426171
1,true,0.66,11.212197408023082
1,true,0.67,11.352160930856673
1,true,0.68,11.50371360695516
1,true,0.69,11.679757651183587
1,true,0.7,11.881224286720354
1,true,0.71,12.078115340649356
1,true,0.72,12.252092040894945
1,true,0.73,12.414178734762174
1,true,0.74,12.562149496061297
1,true,0.75,12.689922994126423
1,true,0.76,12.79814352687932
1,true,0.77,12.902028103831386
1,true,0.78,13.017085633810538
1,true,0.79,13.159213804807326
1,true,0.8,13.331196811526272
1,true,0.81,13.512118183580089
1,true,0.82,13.679322366029359
1,true,0.83,13.810290918079282
1,true,0.84,13.900089313880517
1,true,0.85,13.97400118631487
1,true,0.86,14.060095875553156
1,true,0.87,14.175303455361231
1,true,0.88,14.303081315997257
1,true,0.89,14.423626793193423
1,true,0.9,14.530345480505842
1,true,0.91,14.632634760545697
1,true,0.92,14.73990499024267
1,true,0.93,14.860034694944282
1,true,0.94,14.988907612015254
1,true,0.95,15.127362027647788
1,true,0.96,15.278159510640096
1,true,0.97,15.444573649094329
1,true,0.98,15.622646467814938
1,true,0.99,15.805261397791606
2,true,0.01,0.8936799017705098
2,true,0.02,1.297045170268642
2,true,0.03,1.494218891449024
2,true,0.04,1.6487914780555784
2,true,0.05,1.775471551335134
2,true,0.06,1.9234013215775185
2,true,0.07,2.0965647060289507
2,true,0.08,2.2796055502835673
2,true,0.09,2.4722504415583253
2,true,0.1,2.6804062277673117
2,true,0.11,2.9225062130238166
2,true,0.12,3.156946987867988
2,true,0.13,3.3338064337272684
2,true,0.14,3.4247521469612554
2,true,0.15,3.464777681426626
2,true,0.16,3.5003015379437623
2,true,0.17,3.5727033664596966
2,true,0.18,3.669417558881724
2,true,0.19,3.7761889966392657
2,true,0.2,3.884503561496854
2,true,0.21,3.9862312975252188
2,true,0.22,4.081178393902416
2,true,0.23,4.176511150884904
2,true,0.24,4.279664430571563
2,true,0.25,4.398452157825028
2,true,0.26,4.540684652038809
2,true,0.27,4.691681315102749
2,true,0.28,4.840326948535779
2,true,0.29,4.990896559580389
2,true,0.3,5.1392775389329906
2,true,0.31,5.28307491904957
2,true,0.32,5.4242529404738615
2,true,0.33,5.563814538512063
2,true,0.34,5.702727296675071
2,true,0.35,5.842252471722213
2,true,0.36,5.980208829540671
2,true,0.37,6.111294296034763
2,true,0.38,6.225167583912272
2,true,0.39,6.338923089536076
2,true,0.4,6.477424905878519
2,true,0.41,6.668114452066572
2,true,0.42,6.882222439881432
2,true,0.43,7.059397206723767
2,true,0.44,7.1963925924419465
2,true,0.45,7.317552877451899
2,true,0.46,7.435995008402159
2,true,0.47,7.543656446711784
2,true,0.48,7.652075182801129
2,true,0.49,7.774909593978697
2,true,0.5,7.925908040810733
2,true,0.51,8.095849162479755
2,true,0.52,8.262471192445416
2,true,0.53,8.403503850880947
2,true,0.54,8.506556772660353
2,true,0.55,8.586586812227258
2,true,0.56,8.662732913744213
2,true,0.57,8.749434751902287
2,true,0.58,8.836004118995435
2,true,0.59,8.924469399189134
2,true,0.6,9.019800766719566
2,true,0.61,9.127220515866039
2,true,0.62,9.25648872798066
2,true,0.63,9.397429561941964
2,true,0.64,9.532027245975057
2,true,0.65,9.641968222622033
2,true,0.66,9.718766510542245
2,true,0.67,9.784321875077433
2,true,0.68,9.86485658241302
2,true,0.69,9.988121215941815
2,true,0.7,10.15451804030732
2,true,0.71,10.313302752831097
2,true,0.72,10.423905957332549
2,true,0.73,10.50448207932731
2,true,0.74,10.575341702689052
2,true,0.75,10.655619123722374
2,true,0.76,10.740818147775112
2,true,0.77,10.825708392715201
2,true,0.78,10.918160991686566
2,true,0.79,11.026047077833148
2,true,0.8,11.160202417554185
2,true,0.81,11.326710538641747
2,true,0.82,11.500000436995588
2,true,0.83,11.653061473010512
2,true,0.84,11.78981078349827
2,true,0.85,11.918830598484664
2,true,0.86,12.042002949833666
2,true,0.87,12.161209869409236
2,true,0.88,12.278333389075334
2,true,0.89,12.393488913876476
2,true,0.9,12.504200535605781
2,true,0.91,12.611487261630543
2,true,0.92,12.716512666994342
2,true,0.93,12.820440326740766
2,true,0.94,12.921815772721235
2,true,0.95,13.018931918296403
2,true,0.96,13.116798269916847
2,true,0.97,13.220574711585206
2,true,0.98,13.33325056640466
2,true,0.99,13.450990492500994
3,true,0.01,1.1507663980080163
3,true,0.02,1.442194754204511
3,true,0.03,1.6790951906475744
3,true,0.04,1.8608629298534005
3,true,0.05,2.0148149620370432
3,true,0.06,2.1574662812984347
3,true,0.07,2.2755986829131176
3,true,0.08,2.3900839547753296
3,true,0.09,2.5305373947469327
3,true,0.1,2.685954741339152
3,true,0.11,2.8263599470788185
3,true,0.12,2.9519681205249992
3,true,0.13,3.0691346939755575
3,true,0.14,3.181328191456662
3,true,0.15,3.289843298099422
3,true,0.16,3.3957215894476453
3,true,0.17,3.500004641045138
3,true,0.18,3.603734028435705
3,true,0.19,3.7076483452189306
3,true,0.2,3.808642836209311
3,true,0.21,3.9077791481505955
