sample,chain,value
0,0,1
0,1,0
0,2,1
0,3,0
0,4,0
0,5,0
0,6,1
0,7,0
0,8,1
0,9,0
0,10,1
0,11,0
0,12,0
0,13,0
0,14,1
0,15,0
0,16,1
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,1
0,23,0
0,24,1
0,25,0
0,26,1
0,27,0
0,28,0
0,29,0
1,0,0
1,1,1
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,1
1,14,0
1,15,1
1,16,0
1,17,1
1,18,0
1,19,1
1,20,0
1,21,1
1,22,0
1,23,0
1,24,0
1,25,1
1,26,0
1,27,1
1,28,0
1,29,0
2,0,0
2,1,0
2,2,1
2,3,0
2,4,1
2,5,0
2,6,1
2,7,0
2,8,1
2,9,0
2,10,1
2,11,0
2,12,1
2,13,0
2,14,1
2,15,0
2,16,0
2,17,0
2,18,1
2,19,0
2,20,1
2,21,0
2,22,0
2,23,0
2,24,1
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
3,0,0
3,1,1
3,2,0
3,3,1
3,4,0
3,5,0
3,6,0
3,7,1
3,8,0
3,9,0
3,10,0
3,11,1
3,12,0
3,13,0
3,14,0
3,15,1
3,16,0
3,17,0
3,18,0
3,19,1
3,20,0
3,21,1
3,22,0
3,23,1
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
4,0,0
4,1,0
4,2,1
4,3,0
4,4,1
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,1
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,1
4,21,0
4,22,1
4,23,0
4,24,1
4,25,0
4,26,1
4,27,0
4,28,0
4,29,0
5,0,0
5,1,1
5,2,0
5,3,1
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,1
5,10,0
5,11,1
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,1
5,22,0
5,23,1
5,24,0
5,25,1
5,26,0
5,27,1
5,28,0
5,29,0
6,0,1
6,1,0
6,2,1
6,3,0
6,4,1
6,5,0
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,1
6,13,0
6,14,1
6,15,0
6,16,1
6,17,0
6,18,1
6,19,0
6,20,0
6,21,0
6,22,1
6,23,0
6,24,1
6,25,0
6,26,1
6,27,0
6,28,0
6,29,0
7,0,0
7,1,1
7,2,0
7,3,1
7,4,0
7,5,0
7,6,0
7,7,1
7,8,0
7,9,1
7,10,0
7,11,1
7,12,0
7,13,1
7,14,0
7,15,1
7,16,0
7,17,1
7,18,0
7,19,1
7,20,0
7,21,1
7,22,0
7,23,1
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
8,0,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,1
8,7,0
8,8,1
8,9,0
8,10,1
8,11,0
8,12,1
8,13,0
8,14,1
8,15,0
8,16,0
8,17,0
8,18,1
8,19,0
8,20,0
8,21,0
8,22,1
8,23,0
8,24,1
8,25,0
8,26,0
8,27,0
8,28,0
8,29,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,1
9,10,0
9,11,1
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,1
9,22,0
9,23,1
9,24,0
9,25,0
9,26,0
9,27,1
9,28,0
9,29,0
10,0,1
10,1,0
10,2,1
10,3,0
10,4,0
10,5,0
10,6,1
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,1
10,15,0
10,16,1
10,17,0
10,18,0
10,19,0
10,20,1
10,21,0
10,22,1
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
11,0,0
11,1,0
11,2,0
11,3,1
11,4,0
11,5,1
11,6,0
11,7,1
11,8,0
11,9,1
11,10,0
11,11,1
11,12,0
11,13,1
11,14,0
11,15,0
11,16,0
11,17,1
11,18,0
11,19,0
11,20,0
11,21,0
11,22,0
11,23,1
11,24,0
11,25,1
11,26,0
11,27,1
11,28,0
11,29,0
12,0,1
12,1,0
12,2,1
12,3,0
12,4,0
12,5,0
12,6,1
12,7,0
12,8,1
12,9,0
12,10,1
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,1
12,17,0
12,18,0
12,19,0
12,20,1
12,21,0
12,22,1
12,23,0
12,24,0
12,25,0
12,26,1
12,27,0
12,28,0
12,29,0
13,0,0
13,1,1
13,2,0
13,3,1
13,4,0
13,5,0
13,6,0
13,7,1
13,8,0
13,9,1
13,10,0
13,11,1
13,12,0
13,13,1
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,1
13,22,0
13,23,0
13,24,0
13,25,1
13,26,0
13,27,1
13,28,0
13,29,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,1
14,5,0
14,6,1
14,7,0
14,8,0
14,9,0
14,10,1
14,11,0
14,12,1
14,13,0
14,14,0
14,15,0
14,16,1
14,17,0
14,18,1
14,19,0
14,20,1
14,21,0
14,22,1
14,23,0
14,24,0
14,25,0
14,26,1
14,27,0
14,28,0
14,29,0
15,0,0
15,1,1
15,2,0
15,3,0
15,4,0
15,5,1
15,6,0
15,7,1
15,8,0
15,9,0
15,10,0
15,11,1
15,12,0
15,13,1
15,14,0
15,15,1
15,16,0
15,17,0
15,18,0
15,19,1
15,20,0
15,21,1
15,22,0
15,23,1
15,24,0
15,25,1
15,26,0
15,27,1
15,28,0
15,29,0
16,0,1
16,1,0
16,2,1
16,3,0
16,4,1
16,5,0
16,6,0
16,7,0
16,8,1
16,9,0
16,10,1
16,11,0
16,12,0
16,13,0
16,14,1
16,15,0
16,16,1
16,17,0
16,18,1
16,19,0
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
16,25,0
16,26,0
16,27,0
16,28,0
16,29,0
17,0,0
17,1,1
17,2,0
17,3,1
17,4,0
17,5,1
17,6,0
17,7,1
17,8,0
17,9,0
17,10,0
17,11,0
17,12,0
17,13,1
17,14,0
17,15,1
17,16,0
17,17,0
17,18,0
17,19,1
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
17,25,1
17,26,0
17,27,1
17,28,0
17,29,0
18,0,1
18,1,0
18,2,1
18,3,0
18,4,1
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,1
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,1
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,1
18,25,0
18,26,0
18,27,0
18,28,0
18,29,0
19,0,0
19,1,1
19,2,0
19,3,0
19,4,0
19,5,1
19,6,0
19,7,1
19,8,0
19,9,0
19,10,0
19,11,1
19,12,0
19,13,1
19,14,0
19,15,1
19,16,0
19,17,1
19,18,0
19,19,1
19,20,0
19,21,0
19,22,0
19,23,1
19,24,0
19,25,1
19,26,0
19,27,1
19,28,0
19,29,0
20,0,0
20,1,0
20,2,1
20,3,0
20,4,0
20,5,0
20,6,1
20,7,0
20,8,1
20,9,0
20,10,1
20,11,0
20,12,1
20,13,0
20,14,1
20,15,0
20,16,1
20,17,0
20,18,1
20,19,0
20,20,1
20,21,0
20,22,1
20,23,0
20,24,1
20,25,0
20,26,1
20,27,0
20,28,0
20,29,0
21,0,0
21,1,1
21,2,0
21,3,0
21,4,0
21,5,1
21,6,0
21,7,1
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,1
21,14,0
21,15,0
21,16,0
21,17,1
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,1
21,24,0
21,25,1
21,26,0
21,27,1
21,28,0
21,29,0
22,0,1
22,1,0
22,2,0
22,3,0
22,4,1
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,1
22,11,0
22,12,0
22,13,0
22,14,1
22,15,0
22,16,1
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,1
22,23,0
22,24,1
22,25,0
22,26,0
22,27,0
22,28,0
22,29,0
23,0,0
23,1,0
23,2,0
23,3,1
23,4,0
23,5,1
23,6,0
23,7,1
23,8,0
23,9,1
23,10,0
23,11,1
23,12,0
23,13,1
23,14,0
23,15,1
23,16,0
23,17,1
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
23,25,1
23,26,0
23,27,1
23,28,0
23,29,0
24,0,1
24,1,0
24,2,1
24,3,0
24,4,1
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,1
24,13,0
24,14,1
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,1
24,21,0
24,22,1
24,23,0
24,24,1
24,25,0
24,26,0
24,27,0
24,28,0
24,29,0
25,0,0
25,1,0
25,2,0
25,3,1
25,4,0
25,5,1
25,6,0
25,7,1
25,8,0
25,9,1
25,10,0
25,11,1
25,12,0
25,13,0
25,14,0
25,15,1
25,16,0
25,17,1
25,18,0
25,19,0
25,20,0
25,21,0
25,22,0
25,23,0
25,24,0
25,25,0
25,26,0
25,27,1
25,28,0
25,29,0
26,0,0
26,1,0
26,2,1
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,1
26,9,0
26,10,0
26,11,0
26,12,1
26,13,0
26,14,1
26,15,0
26,16,0
26,17,0
26,18,1
26,19,0
26,20,1
26,21,0
26,22,1
26,23,0
26,24,0
26,25,0
26,26,1
26,27,0
26,28,0
26,29,0
27,0,0
27,1,1
27,2,0
27,3,1
27,4,0
27,5,1
27,6,0
27,7,1
27,8,0
27,9,1
27,10,0
27,11,1
27,12,0
27,13,1
27,14,0
27,15,1
27,16,0
27,17,1
27,18,0
27,19,1
27,20,0
27,21,0
27,22,0
27,23,0
27,24,0
27,25,0
27,26,0
27,27,0
27,28,0
27,29,0
28,0,0
28,1,0
28,2,1
28,3,0
28,4,1
28,5,0
28,6,1
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,1
28,15,0
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,0
28,22,1
28,23,0
28,24,1
28,25,0
28,26,1
28,27,0
28,28,0
28,29,0
29,0,0
29,1,1
29,2,0
29,3,1
29,4,0
29,5,0
29,6,0
29,7,1
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,1
29,14,0
29,15,0
29,16,0
29,17,0
29,18,0
29,19,1
29,20,0
29,21,0
29,22,0
29,23,1
29,24,0
29,25,0
29,26,0
29,27,1
29,28,0
29,29,0
30,0,0
30,1,0
30,2,1
30,3,0
30,4,1
30,5,0
30,6,0
30,7,0
30,8,1
30,9,0
30,10,0
30,11,0
30,12,1
30,13,0
30,14,0
30,15,0
30,16,1
30,17,0
30,18,1
30,19,0
30,20,1
30,21,0
30,22,1
30,23,0
30,24,1
30,25,0
30,26,1
30,27,0
30,28,0
30,29,0
31,0,0
31,1,1
31,2,0
31,3,1
31,4,0
31,5,0
31,6,0
31,7,1
31,8,0
31,9,1
31,10,0
31,11,0
31,12,0
31,13,0
31,14,0
31,15,0
31,16,0
31,17,1
31,18,0
31,19,0
31,20,0
31,21,0
31,22,0
31,23,1
31,24,0
31,25,0
31,26,0
31,27,1
31,28,0
31,29,0
32,0,1
32,1,0
32,2,1
32,3,0
32,4,1
32,5,0
32,6,0
32,7,0
32,8,1
32,9,0
32,10,0
32,11,0
32,12,1
32,13,0
32,14,1
32,15,0
32,16,1
32,17,0
32,18,0
32,19,0
32,20,1
32,21,0
32,22,1
32,23,0
32,24,1
32,25,0
32,26,0
32,27,0
32,28,0
32,29,0
33,0,0
33,1,1
33,2,0
33,3,0
33,4,0
33,5,1
33,6,0
33,7,1
33,8,0
33,9,1
33,10,0
33,11,1
33,12,0
33,13,0
33,14,0
33,15,1
33,16,0
33,17,1
33,18,0
33,19,1
33,20,0
33,21,1
33,22,0
33,23,1
33,24,0
33,25,0
33,26,0
33,27,1
33,28,0
33,29,0
34,0,1
34,1,0
34,2,1
34,3,0
34,4,0
34,5,0
34,6,1
34,7,0
34,8,1
34,9,0
34,10,0
34,11,0
34,12,1
34,13,0
34,14,1
34,15,0
34,16,1
34,17,0
34,18,1
34,19,0
34,20,0
34,21,0
34,22,1
34,23,0
34,24,1
34,25,0
34,26,1
34,27,0
34,28,0
34,29,0
35,0,0
35,1,1
35,2,0
35,3,0
35,4,0
35,5,1
35,6,0
35,7,1
35,8,0
35,9,0
35,10,0
35,11,1
35,12,0
35,13,0
35,14,0
35,15,1
35,16,0
35,17,1
35,18,0
35,19,1
35,20,0
35,21,1
35,22,0
35,23,1
35,24,0
35,25,1
35,26,0
35,27,1
35,28,0
35,29,0
36,0,1
36,1,0
36,2,1
36,3,0
36,4,0
36,5,0
36,6,1
36,7,0
36,8,1
36,9,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,1
36,15,0
36,16,0
36,17,0
36,18,0
36,19,0
36,20,1
36,21,0
36,22,1
36,23,0
36,24,1
36,25,0
36,26,1
36,27,0
36,28,0
36,29,0
37,0,0
37,1,1
37,2,0
37,3,1
37,4,0
37,5,1
37,6,0
37,7,1
37,8,0
37,9,1
37,10,0
37,11,1
37,12,0
37,13,0
37,14,0
37,15,1
37,16,0
37,17,1
37,18,0
37,19,1
37,20,0
37,21,1
37,22,0
37,23,0
37,24,0
37,25,1
37,26,0
37,27,1
37,28,0
37,29,0
38,0,1
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
38,11,0
38,12,1
38,13,0
38,14,0
38,15,0
38,16,1
38,17,0
38,18,1
38,19,0
38,20,1
38,21,0
38,22,0
38,23,0
38,24,1
38,25,0
38,26,0
38,27,0
38,28,0
38,29,0
39,0,0
39,1,1
39,2,0
39,3,1
39,4,0
39,5,0
39,6,0
39,7,1
39,8,0
39,9,1
39,10,0
39,11,1
39,12,0
39,13,0
39,14,0
39,15,1
39,16,0
39,17,1
39,18,0
39,19,1
39,20,0
39,21,1
39,22,0
39,23,1
39,24,0
39,25,1
39,26,0
39,27,1
39,28,0
39,29,0
40,0,1
40,1,0
40,2,1
40,3,0
40,4,0
40,5,0
40,6,1
40,7,0
40,8,1
40,9,0
40,10,1
40,11,0
40,12,0
40,13,0
40,14,1
40,15,0
40,16,1
40,17,0
40,18,1
40,19,0
40,20,1
40,21,0
40,22,1
40,23,0
40,24,1
40,25,0
40,26,0
40,27,0
40,28,1
