isAdapt,round,chain,value
true,0,0,0.43150815515138113
true,0,1,0.2812250182398597
true,0,2,0.40349656012823104
true,0,3,0.1371773924175301
true,0,4,0.3062453112935343
true,0,5,0.40156232326676333
true,0,6,0.5
true,0,7,0.2964971889420181
true,0,8,0.12232527180026607
true,0,9,0.3475437207224402
true,0,10,0.2932403006802032
true,0,11,0.09049791317634388
true,0,12,0.27526187029637006
true,0,13,0.46131595923420066
true,0,14,0.5
true,0,15,0.3756508100175798
true,0,16,0.1932454139948659
true,0,17,0.3445601365392085
true,0,18,0.07370172726889172
true,0,19,0.5
true,0,20,0.17617967571254287
true,0,21,0.11587865776703167
true,0,22,0.5
true,0,23,0.42801635527657156
true,0,24,0.2797279895257939
true,0,25,0.4192317199910099
true,0,26,0.12733666798281226
true,0,27,0.5
true,0,28,1.6591716732102092E-145
true,1,0,0.2794364070153538
true,1,1,0.5393792714862943
true,1,2,0.597611193451943
true,1,3,0.6666666666666666
true,1,4,0.696091857745482
true,1,5,0.31541272972475876
true,1,6,0.5085825057986975
true,1,7,0.5239674448578102
true,1,8,0.45373031910104406
true,1,9,0.4598694264226756
true,1,10,0.5323151943766822
true,1,11,0.6666666666666666
true,1,12,0.5889396212569109
true,1,13,0.29111378281297534
true,1,14,0.41336609880022646
true,1,15,0.3617190926582697
true,1,16,0.33078395588910736
true,1,17,0.45229102626388323
true,1,18,0.46011687237678256
true,1,19,0.37364453847808576
true,1,20,0.49139392038408214
true,1,21,0.40460069840952834
true,1,22,0.41788344607958433
true,1,23,0.4468352394640249
true,1,24,0.46833035467289946
true,1,25,0.42600044998791764
true,1,26,0.5584887727580937
true,1,27,0.2894605763795586
true,1,28,3.710010551195809E-16
true,2,0,0.6453967972267735
true,2,1,0.6252782243553252
true,2,2,0.4654116339284314
true,2,3,0.3107606090924283
true,2,4,0.4626151490448161
true,2,5,0.5684888895001439
true,2,6,0.7014816111120572
true,2,7,0.5628808729440359
true,2,8,0.6976361928929449
true,2,9,0.49805196452101724
true,2,10,0.5952088808105588
true,2,11,0.6985545968835459
true,2,12,0.3800388589162462
true,2,13,0.5809141430053303
true,2,14,0.6423955875025553
true,2,15,0.47965623364488313
true,2,16,0.5934220998033297
true,2,17,0.6329615440756953
true,2,18,0.4503253020649461
true,2,19,0.5523362056539144
true,2,20,0.6528363095111595
true,2,21,0.5732540180870032
true,2,22,0.5976155623361972
true,2,23,0.7882443111942615
true,2,24,0.24798644479088044
true,2,25,0.3286778475747674
true,2,26,0.5165343132018421
true,2,27,0.5810251027065987
true,2,28,0.0013846876141838792
true,3,0,0.5414497519510757
true,3,1,0.5985299601122994
true,3,2,0.7468318959884039
true,3,3,0.658434198686436
true,3,4,0.7158231778230774
true,3,5,0.6189679543396253
true,3,6,0.3915139109305363
true,3,7,0.6735820726368071
true,3,8,0.515990791278738
true,3,9,0.44581943029585497
true,3,10,0.365009159303964
true,3,11,0.6118615354660637
true,3,12,0.7288983564164434
true,3,13,0.585934822560177
true,3,14,0.6824228876578639
true,3,15,0.6272313801538957
true,3,16,0.3690847978706075
true,3,17,0.575460379620292
true,3,18,0.49624753429385504
true,3,19,0.5854871676543398
true,3,20,0.527202874684421
true,3,21,0.34832717594225493
true,3,22,0.7391670617131589
true,3,23,0.667379777254418
true,3,24,0.6829043960394857
true,3,25,0.47001110694508613
true,3,26,0.5814535596460003
true,3,27,0.8001363046222815
true,3,28,0.034568080858224506
true,4,0,0.6446154057637674
true,4,1,0.7009601322743626
true,4,2,0.4074908200045351
true,4,3,0.7574499359361511
true,4,4,0.6403476851309472
true,4,5,0.6784287627862
true,4,6,0.5855493782759542
true,4,7,0.5167347100522198
true,4,8,0.6102250147598334
true,4,9,0.6860859975288643
true,4,10,0.5103050371223878
true,4,11,0.49217021132471783
true,4,12,0.575438130384095
true,4,13,0.5168612125377134
true,4,14,0.7005362135827381
true,4,15,0.7584797178903379
