round,lowest,average
0,1.6591716732102092E-145,0.3062560737732914
1,3.710010551195809E-16,0.4487826941374485
2,0.0013846876141838792,0.5321163446205472
3,0.034568080858224506,0.5650252242326098
4,0.14009636172013512,0.5634749159575593
5,0.26750176705411893,0.577241689090969
6,0.4319792876985903,0.5734155768345285
7,0.4449018813199596,0.585223326693057
8,0.5144041795000843,0.5847047409697645
9,0.5327459781035839,0.5861355342728528
10,0.5516056499223535,0.5899047476201702
11,0.5433278001889503,0.5851633282400465
